POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,18,David Millsaps,"Murrieta, CA",Suzuki RM-Z450,20 Laps,0:55.974,"Rockstar Energy Drink/ Motosport.com/ Bel-Ray/ ONE Industries/ FMF/ Bell Helmets/ Dragon/ Gaerne Boots/ Leatt Brace/ Motion Pro
"
2,41,Trey Canard,"Oklahoma City, OK",Honda CRF 450,2.297,0:55.849,Team Honda Muscle Milk
3,5,Ryan Dungey,Waconia MN,KTM 450 SX-F Factory Edit,13.479,0:55.877,Red Bull/KTM/Motorex/Dunlop/Foremost/WP/Akrapovic
4,22,Chad Reed,AUSTRALIA,Honda CRF 450,28.203,0:56.358,Discount Tire Americas Tire/Shift/Fox/Mophie/Outride/Etnies/Honda/Factory Effex
5,12,Jake Weimer,Twin Falls ID,Kawasaki KX 450F,29.212,0:57.319,-- none listed --
6,29,Andrew Short,"Tulsa, OK",Honda CRF 450,33.547,0:57.510, 
7,51,Justin Barcia,NEW JERSEY,Honda CRF 450,37.608,0:55.934,Team Honda Muscle Milk
8,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,40.794,0:57.481,American Suzuki Motor Corp./Yoshimura Racing/Motorex/Dunlop/Renthal/Vortex/Enjoy Mfg./Showa/Hinson Clutch Components/Renegade Fuels/Mechanix Wear/Works Connection/Twin Air/Matrix/D.I.D./Excel/NGK/Kokosan
9,10,Justin Brayton,Fort Dodge,Yamaha YZ450F,42.464,0:57.614, 
10,14,Kevin Windham,"Baton Rouge, La",Honda CRF 450,54.798,0:58.220,-- none listed --
11,33,Joshua Grant,lakewood ca,Yamaha YZ450F,56.338,0:57.932, 
12,62,Matthew Goerke,Daytona ,KTM 450 SX-F,58.352,0:58.450,BTOSports.com/KTM
13,11,Kyle Chisholm,"Clearwater, FL",Yamaha YZ450F,19 Laps,0:58.134,Velocity3 Racing/Yamaha/DRD exhaust/yamalube/GYTR/360unlimited.com/dunlop/hinson/supersprox/sts graphics/ride engineering/pro taper/matrix/renegade/motoseat/twin air/cycra/motomaster/enzo/dubya wheels/DID/works connection/ironclad
14,46,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,9.318,0:58.374,"Hyper-X,FLY,R2MX,Rocket Exhaust,Pro Ride.com,Renegade,Dunlop,Hinson,Torco,Factory Backing,Acerbis,Max Muscle,Utopia,Sunstar,Piston Bones.com"
15,47,Matthew Lemoine,"Baton Rouge, Louisiana",Kawasaki KX 450F,18.771,0:58.710,JAB Motorsports/SCOTT/Silkolene/FMF/JM Racing/Rekluse/Shoei/DT1 Filters/Dunlop/Boyesen/Gawk Racing/D.I.D/Ride Engineering/Dubya/Streamline/SDI/Dunlop Tires/CP-Carrillo/3D Racing/Red River Motorsports/Speed Graffix/CMS Fleet.com/Mika Metals/SDG Seats
16,1,Ryan Villopoto,"fortuna, ca",Kawasaki KX 450F,22.369,0:56.591,Monster Energy Kawasaki
17,42,Vince Friese,Missouri,Honda CRF 450,28.409,0:58.475,Slaton Racing/Tuf Racing/ONeal/Dunlop/Shoei
18,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,32.783,0:57.462, 
19,39,Robert Kiniry,syracuse,Honda CRF 450,36.496,0:59.392,factory yamaha rockstar
20,800,Mike Alessi,"Glendale, CA",Suzuki RM-Z450,3 Laps,0:59.379,Motoconcepts Racing/Smartop/JT Racing/FMF
