POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,20 Laps,0:50.902,Monster Energy Kawasaki
2,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,6.537,0:50.991,Red Bull/KTM/Motorex/Dunlop/Foremost/WP/Akrapovic
3,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,21.407,0:51.242,Yoshimura Suzuki Factory Racing
4,18,David Millsaps,"Murrieta, CA",Suzuki RM-Z450,26.392,0:51.293,Rockstar Energy Drink/Motosport.com/ONE Industries/Bel-Ray/Bell/FMF
5,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,31.414,0:52.165,Team Honda Muscle Milk
6,22,Chad Reed,"Dade City, FL",Honda CRF 450,37.355,0:51.552,Discount Tire Americas Tire/Shift/Fox/Mophie/Outride/Etnies/Honda/Factory Effex
7,29,Andrew Short,"Smithville, TX",KTM 450 SX-F,43.866,0:52.086,BTO Sports/KTM/Palmetto Motorsports/Fly Racing/Bubba Burger/Witt's End Racing
8,62,Matthew Goerke,"Lake Helen, FL",KTM 450 SX-F,45.844,0:52.356,BTO Sports - KTM
9,17,Eli Tomac,"Cortez, CO",Honda CRF 450,47.630,0:52.139,GEICO Honda/AMSOIL/Muscle Milk/Planet Fitness/Factory Connection
10,46,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,57.646,0:53.810,HYPER-X/R2MX/PRORIDE/FLY/UTOPIA/BOLT HARDWARE/
11,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,19 Laps,0:52.877,RCH/Dodge/Suzuki
12,75,Joshua Hill,"Yoncalla, OR",Suzuki RM-Z450,13.738,0:53.371,RCH/Dodge/Suzuki
13,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,25.117,0:53.979,Toyota/JGRMX/Yamaha 
14,49,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,18 Laps,0:54.673,N-Fab TiLUBE Yamaha
15,85,Kyle Partridge,"Lake Elsinore, CA",Honda CRF 450,15.280,0:54.857,Rocky Mountain atvmc 2up minis fmf mb1 suspension shift high desert services 100%
16,64,Justin Sipes,"Flaherty, KY",Kawasaki KX 450F,26.140,0:54.789,Gateway Cycles/The Privateer Journey/Fly Racing/Hammer Nutrition/Scott USA/Wisehart Premium Fitness/Sunstar/TiLube/Dunlop/Wiseco/Pro Taper
17,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,43.620,0:54.735,Motoconcepts Racing/Smartop/JT Racing/FMF
18,39,Robert Kiniry,"Holland Patent, NY",Yamaha YZ450F,6 Laps,0:55.437,N-Fab TiLUBE Yamaha
19,41,Trey Canard,"Shawnee, OK",Honda CRF 450,2 Laps,0:54.180,Team Honda Muscle Milk
20,12,Jake Weimer,"Rupert, ID",Kawasaki KX 450F,1:29.803,0:57.856,Monster Energy Kawasaki
