POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,5,Ryan Dungey,"Tallahassee, FL",KTM 450 SX-F Factory Edit,1,X,20,1,25
2,94,Ken Roczen,"Clermont, FL",Suzuki RM-Z450,6,-,0,2,22
3,41,Trey Canard,"Edmond, OK",Honda CRF 450,2,-,0,3,20
4,4,Blake Baggett,"Grand Terrace, CA",Suzuki RM-Z450,11,-,0,4,18
5,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,9,-,0,5,16
6,21,Jason Anderson,"Edgewood, NM",Husqvarna FC450,14,-,0,6,15
7,3,Eli Tomac,"Cortez, CO",Honda CRF 450,3,-,0,7,14
8,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,15,-,0,8,13
9,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,17,-,0,9,12
10,14,Cole Seely,"Laguna Beach, CA",Honda CRF 450,19,-,0,10,11
11,22,Chad Reed,"Dade City, FL",Kawasaki KX 450F,10,-,0,11,10
12,75,Joshua Hill,"Yoncalla, OR",Yamaha YZ450F,21,-,0,12,9
13,46,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,13,-,0,13,8
14,12,Jacob Weimer,"Wildomar, CA",Kawasaki KX 450F,7,-,0,14,7
15,27,Nicholas Wey,"Dewitt, MI",Kawasaki KX 450F,22,-,0,15,6
16,53,Jimmy Albertson,"Shawnee, OK",Yamaha YZ450F,16,-,0,16,5
17,199,Kyle Partridge,"Canyon Lake, CA",Honda CRF 450,20,-,0,17,4
18,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,8,-,0,18,3
19,285,Tony Archer,"Waldorf, MD",Kawasaki KX 450F,18,-,0,19,2
20,18,David Millsaps,"Murrieta, CA",Kawasaki KX 450F,5,-,0,20,1
21,70,Nicholas Schmidt,"Riverside, CA",Suzuki RM-Z450,12,-,0,21,1
