POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,94,Ken Roczen,"Clermont, FL",Suzuki RM-Z450,3,-,19,1,25
2,5,Ryan Dungey,"Tallahassee, FL",KTM 450 SX-F Factory Edit,1,-,0,2,22
3,3,Eli Tomac,"Cortez, CO",Honda CRF 450,12,-,0,3,20
4,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,14,-,0,4,18
5,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,10,-,0,5,16
6,14,Cole Seely,"Laguna Beach, CA",Honda CRF 450,4,-,0,6,15
7,21,Jason Anderson,"Edgewood, NM",Husqvarna FC450,8,-,0,7,14
8,15,Dean Wilson,"Wesley Chapel, FL",KTM 450 SX-F Factory Edit,13,-,0,8,13
9,18,David Millsaps,"Murrieta, CA",Kawasaki KX 450F,5,-,1,9,12
10,4,Blake Baggett,"Grand Terrace, CA",Suzuki RM-Z450,17,-,0,10,11
11,41,Trey Canard,"Edmond, OK",Honda CRF 450,9,-,0,11,10
12,24,Brett Metcalfe,"Lake Elsinore, CA",Suzuki RM-Z450,15,-,0,12,9
13,11,Kyle Chisholm,"Valrico, FL",KTM 450 SX-F,21,-,0,13,8
14,27,Nicholas Wey,"Dewitt, MI",Kawasaki KX 450F,18,-,0,14,7
15,42,Ben Lamay,"Forney, TX",Yamaha YZ450F,22,-,0,15,6
16,53,Jimmy Albertson,"Shawnee, OK",Yamaha YZ450F,20,X,0,16,5
17,12,Jacob Weimer,"Wildomar, CA",Kawasaki KX 450F,19,-,0,17,4
18,92,Cade Clason,"Arcadia, OH",Honda CRF 450,16,-,0,18,3
19,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,2,-,0,19,2
20,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,11,-,0,20,1
