POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,17,Jason Anderson,"Rio Rancho, NM",KTM 250 SX-F,1,X,4,1,25
2,21,Cole Seely,"Lake Elsinore, CA",Honda CRF 250,7,-,11,2,22
3,16,Zach Osborne,"Chesterfield, SC",Honda CRF 250,4,-,0,3,20
4,15,Dean Wilson,"Wesley Chapel, FL",Kawasaki KX 250F,5,-,0,4,18
5,37,Cooper Webb,"Newport, NC",Yamaha YZ250F,6,-,0,5,16
6,35,Justin Hill,"Yoncalla, OR",Kawasaki KX 250F,3,-,0,6,15
7,45,Darryn Durham,"Butler, PA",Kawasaki KX 250F,8,-,0,7,14
8,34,Malcolm Stewart,"Haines City, FL",Honda CRF 250,2,-,0,8,13
9,50,Jessy Nelson,"Paso Robles, CA",Honda CRF 250,13,-,0,9,12
10,61,Austin Politelli,"Menifee, CA",Yamaha YZ250F,12,-,0,10,11
11,89,Michael Leib,"Menifee, CA",Honda CRF 250,11,-,0,11,10
12,66,Jake Canada,"Sun City, CA",Honda CRF 250,10,-,0,12,9
13,83,Dakota Tedder,"Surfside, CA",Kawasaki KX 250F,15,-,0,13,8
14,111,Dean Ferris,"MURRIETA, CA",KTM 250 SX-F,16,-,0,14,7
15,71,Zachary Bell,"Cairo, GA",Honda CRF 250,9,-,0,15,6
16,87,Shane Mcelrath,"Chesterfield, SC",Honda CRF 250,14,-,0,16,5
17,737,Valentin Teillet,"Lake Elsinore, CA",Kawasaki KX 250F,20,-,0,17,4
18,65,Zackery Freeberg,"Riverview, FL",Honda CRF 250,19,-,0,18,3
19,84,Scott Champion,"Orange, CA",Yamaha YZ250F,18,-,0,19,2
20,97,Topher Ingalls,"Carmel, CA",Honda CRF 250,22,-,0,20,1
21,142,Cole Martinez,"Rimrock, AZ",Kawasaki KX 250F,21,-,0,21,1
22,565,Preston Mull,"Livingston, CA",Yamaha YZ250F,17,-,0,22,1
