POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1W,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ250F,4,-,7,1,26
2,52,Austin Forkner,"Richards, MO",Kawasaki KX250,1,-,8,2,23
3,32,Justin Cooper,"Menifee, CA",Yamaha YZ250F,19,-,0,3,21
4,26,Alex Martin,"Clermont, FL",Suzuki RMZ250,9,X,1,4,19
5,101,Luke Clout,"Hemet, CA",Honda CRF250R,8,-,0,5,18
6,40,Mitchell Oldenburg,"Godley, TX",Honda CRF250R,6,-,0,6,17
7,57,Derek Drake,"Corona, CA",KTM 250SX-F Factory Editi,12,-,0,7,16
8,30,Brandon Hartranft,"Corona, CA",KTM 250SX-F Factory Editi,5,-,0,8,15
9,108,Aaron Tanti,"Silverdale, NSW",Yamaha YZ250F,13,-,0,9,14
10,55,Martin Castelo,"Murrieta, CA",Husqvarna FC250,11,-,0,10,13
11,95,Carson Brown,"Ravensdale, WA",Husqvarna FC250,14,-,0,11,12
12,45,Jacob Hayes,"Lodi, CA",Husqvarna FC250,7,-,0,12,11
13,170,Michael Leib,"Temecula, CA",Husqvarna FC250,15,-,0,13,10
14,29,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,2,-,0,14,9
15,72,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,10,-,0,15,8
16,106,Jay Wilson,"Palm Beach, QLD",Yamaha YZ250F,18,-,0,16,7
17,60,Mitchell Falk,"Costa Mesa, CA",Honda CRF250R,16,-,0,17,6
18,929,Taiki Koga,"Kurume, Japan",Kawasaki KX250,17,-,0,18,5
19,88,Logan Karnow,"Amherst, OH",Kawasaki KX250,22,-,0,19,4
20,284,Lorenzo Camporese,"Campodarsego, ITA",Kawasaki KX250,21,-,0,20,3
21,90,Killian Auberson,"Winchester, CA",Husqvarna FC250,20,-,0,21,2
22,28,Michael Mosiman,"Menifee, CA",Husqvarna FC250,3,-,0,22,1
