POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250F,3,-,9,1,
2,45,Jordon Smith,"Belmont, NC",KTM 250 SX-F,4,-,0,2,0
3,28,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,5,X,7,3,
4,17,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,1,-,0,4,
5,6,Jeremy Martin,"Millville, MN",Honda CRF 250,6,-,0,5,0
6,40,Chase Sexton,"Clermont, FL",Honda CRF 250,15,-,0,6,
7,1E,Zach Osborne,"Abingdon, VA",Husqvarna FC250,2,-,0,7,0
8,23,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,7,-,0,8,
9,114,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,21,-,0,9,0
10,63,Hayden Mellross,"Clermont, FL",Yamaha YZ250F,11,-,0,10,
11,43,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,10,-,0,11,0
12,64,Michael Mosiman,"Sebastopol, CA",Husqvarna FC250,8,-,0,12,0
13,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ250F,9,-,0,13,
14,38,Luke Renzland,"Hewitt, NJ",Yamaha YZ250F,16,-,0,14,0
15,1W,Justin Hill,"Yoncalla, OR",Suzuki RM-Z250,17,-,0,15,
16,174,Joshua Osby,"Valparaiso, IN",KTM 250 SX-F,20,-,0,16,0
17,30,Mitchell Harrison,"Tallahassee, FL",Husqvarna FC250,13,-,0,17,
18,76,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,12,-,0,18,0
19,56,Anthony Rodriguez,"Cairo, GA",KTM 250SX-F Factory Editi,18,-,0,19,0
20,137,Martin Castelo,"Murrieta, CA",Yamaha YZ250F,19,-,0,20,
21,68,Justin Starling,"Deland, FL",Husqvarna FC250,22,-,0,21,
22,373,Jacob Williamson,"Swartz Creek, MI",Honda CRF 250,14,-,0,22,0
