POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,23,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,1,X,8,1,26
2,40,Chase Sexton,"Clermont, FL",Honda CRF 250,4,-,0,2,23
3,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250F,19,-,0,3,21
4,28,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,8,-,0,4,19
5,68,Justin Starling,"Deland, FL",Husqvarna FC250,3,-,0,5,18
6,52,Mitchell Oldenburg,"Alvord, TX",Yamaha YZ250F,10,-,0,6,17
7,30,Mitchell Harrison,"Tallahassee, FL",Husqvarna FC250,5,-,0,7,16
8,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ250F,21,-,0,8,15
9,1,Justin Hill,"Yoncalla, OR",Suzuki RM-Z250,9,-,0,9,14
10,63,Hayden Mellross,"Clermont, FL",Yamaha YZ250F,15,-,0,10,13
11,54,Phillip Nicoletti,"Bethel, NY",Suzuki RM-Z250,2,-,0,11,12
12,17,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,7,-,0,12,11
13,430,Dylan Summerlin,"Hermiston, OR",Husqvarna FC250,11,-,0,13,10
14,388,Brandan Leith,"Eagle Mountain, UT",Kawasaki KX 250F,17,-,0,14,9
15,81,Chase Marquier,"Newcastle, OK",Husqvarna FC250,6,-,0,15,8
16,42,Dakota Alix,"Jay, VT",KTM 250SX-F Factory Editi,12,-,0,16,7
17,160,Jess Pettis,"Prince George, Canada",Yamaha YZ250F,20,-,0,17,6
18,246,Chance Blackburn,"Newman Lake, WA",KTM 250 SX-F,13,-,0,18,5
19,715,Kele Russell,"Seabeck, WA",Husqvarna FC250,22,-,0,19,4
20,149,Tallon Lafountaine,"Banning, CA",Suzuki RM-Z250,18,-,0,20,3
21,71,Josh Mosiman,"Menifee, CA",Husqvarna FC250,14,-,0,21,2
22,75,Noah Mcconahy,"Spokane, WA",Yamaha YZ250F,16,-,0,22,1
