POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,6,Jeremy Martin,"Millville, MN",Honda CRF 250,5,X,21,1,26
2,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250F,2,-,0,2,23
3,38,Luke Renzland,"Hewitt, NJ",Yamaha YZ250F,17,-,0,3,21
4,45,Jordon Smith,"Belmont, NC",KTM 250 SX-F,9,-,0,4,19
5,23,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,6,-,0,5,18
6,35,Austin Forkner,"Richards, MO",Kawasaki KX 250F,1,-,0,6,17
7,1E,Zach Osborne,"Abingdon, VA",Husqvarna FC250,3,-,0,7,16
8,76,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,7,-,0,8,15
9,54,Phillip Nicoletti,"Bethel, NY",Suzuki RM-Z250,16,-,0,9,14
10,17,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,8,-,0,10,13
11,30,Mitchell Harrison,"Tallahassee, FL",Husqvarna FC250,18,-,0,11,12
12,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ250F,19,-,0,12,11
13,28,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,4,-,0,13,10
14,741,Blake Wharton,"Denton, TX",Yamaha YZ250F,12,-,0,14,9
15,56,Anthony Rodriguez,"Cairo, GA",KTM 250SX-F Factory Editi,13,-,0,15,8
16,114,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,21,-,0,16,7
17,68,Justin Starling,"Deland, FL",Husqvarna FC250,22,-,0,17,6
18,373,Jacob Williamson,"Swartz Creek, MI",Honda CRF 250,15,-,0,18,5
19,206,Thomas Ramette,"Guilherand, France - Metropolitan",Yamaha YZ250F,11,-,0,19,4
20,43,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,20,-,0,20,3
21,40,Chase Sexton,"Clermont, FL",Honda CRF 250,10,-,0,21,2
22,63,Hayden Mellross,"Clermont, FL",Yamaha YZ250F,14,-,0,22,1
