POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1,Zach Osborne,"Abingdon, VA",Husqvarna FC250,3,-,6,1,26
2,31,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,8,-,0,2,23
3,47,James Decotis,"Peabody, MA",Suzuki RM-Z250,6,-,0,3,21
4,36,Rj Hampshire,"Wesley Chapel, FL",Honda CRF 250,10,-,13,4,18
5,6,Jeremy Martin,"Millville, MN",Honda CRF 250,7,-,0,5,17
6,45,Jordon Smith,"Belmont, NC",KTM 250 SX-F,5,-,0,6,16
7,35,Austin Forkner,"Richards, MO",Kawasaki KX 250F,2,-,0,7,15
8,43,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,13,-,0,8,14
9,38,Luke Renzland,"Hewitt, NJ",Yamaha YZ250F,12,-,0,9,13
10,57,John Short,"Pilot Point, TX",Yamaha YZ250F,20,-,0,10,12
11,44,Lorenzo Locurcio,"CLERMONT, FL",Honda CRF 250,19,-,0,11,11
12,49,Nick Gaines,"Ringgold, GA",Yamaha YZ250F,17,-,0,12,10
13,66,Cameron Mcadoo,"Sioux City, IA",Honda CRF 250,9,-,0,13,9
14,570,Cody Vanbuskirk,"Harvard, IL",KTM 250 SX-F,15,-,0,14,8
15,76,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,11,-,0,15,7
16,169,Challen Tennant,"Willis, TX",Yamaha YZ250F,21,-,0,16,6
17,231,Jayce Pennington,"Walnut Hill, IL",Yamaha YZ250F,22,-,0,17,5
18,24,Dylan Ferrandis,"Murrieta, CA",Yamaha YZ250F,4,-,0,18,4
19,114,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,16,-,0,19,19
20,174,Joshua Osby,"Valparaiso, IN",KTM 250 SX-F,14,-,0,20,3
21,56,Anthony Rodriguez,"Cairo, GA",KTM 250SX-F Factory Editi,18,-,0,21,2
