POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,24,Austin Forkner,"Richards, MO",Kawasaki KX 250F,2,X,20,1,26
2,28,Jordon Smith,"Belmont, NC",KTM 250 SX-F,1,-,0,2,23
3,32,Justin Cooper,"Huntington, NY",Yamaha YZ250F,5,-,0,3,21
4,26,Alex Martin,"Clermont, FL",Suzuki RM-Z250,3,-,0,4,19
5,23,Chase Sexton,"Clermont, FL",Honda CRF 250,16,-,0,5,18
6,66,Mitchell Oldenburg,"Godley, TX",Yamaha YZ250F,4,-,0,6,17
7,37,Kyle Cunningham,"Willow Park, TX",Honda CRF 250,10,-,0,7,16
8,45,Brandon Hartranft,"Brick, NJ",Yamaha YZ250F,18,-,0,8,15
9,52,Jordan Bailey,"Orlando, FL",Husqvarna FC250,8,-,0,9,14
10,55,Kyle Peters,"Greensboro, NC",Suzuki RM-Z250,7,-,0,10,13
11,112,Thomas Covington,"Murrieta, CA",Husqvarna FC250,15,-,0,11,12
12,56,Lorenzo Locurcio,"GROVELAND, FL",Kawasaki KX 250,20,-,0,12,11
13,70,Joshua Osby,"Valparaiso, IN",Yamaha YZ250F,19,-,0,13,10
14,49,Henry Miller,"Rochester, MN",KTM 250 SX-F,14,-,0,14,9
15,93,Blake Wharton,"Denton, TX",Honda CRF 250,6,-,0,15,8
16,73,Martin Davalos,"Tallahassee, FL",Kawasaki KX 250F,12,-,0,16,7
17,123,Mitchell Falk,"Costa Mesa, CA",KTM 250 SX-F,9,-,0,17,6
18,96,Chase Marquier,"Newcastle, OK",Husqvarna FC250,21,-,0,18,5
19,81,Joshua Cartwright,"Tallahassee, FL",Yamaha YZ250F,11,-,0,19,4
20,38,Christian Craig,"Orange, CA",Honda CRF 250,13,-,0,20,3
21,367,Hunter Sayles,"Merrill, WI",KTM 250 SX-F,17,-,0,21,2
