POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250,2,X,16,1,26
2,39,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,1,-,0,2,23
3,12,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,4,-,0,3,21
4,31,Rj Hampshire,"Wesley Chapel, FL",Honda CRF 250,6,-,0,4,19
5,64,James Decotis,"Peabody, MA",Suzuki RM-Z250,3,-,0,5,18
6,34,Dylan Ferrandis,"Murrieta, CA",Yamaha YZ250F,5,-,0,6,17
7,111,Chris Blose,"Phoenix, AZ",Husqvarna FC250,13,-,0,7,16
8,40,Sean Cantrell,"Murrieta, CA",KTM 250 SX-F,12,-,0,8,15
9,61,Garrett Marchbanks,"Coalville, UT",Kawasaki KX 250,15,-,0,9,14
10,36,Michael Mosiman,"Menifee, CA",Husqvarna FC250,7,-,0,10,13
11,44,Cameron Mcadoo,"Chesterfield, SC",Honda CRF 250,9,-,0,11,12
12,160,Jess Pettis,"Prince George, Canada",KTM 250 SX-F,20,-,0,12,11
13,141,Robbie Wageman,"Newhall, CA",Honda CRF 250,16,-,0,13,10
14,60,Justin Starling,"Deland, FL",Husqvarna FC250,17,-,0,14,9
15,54,Dylan Merriam,"Corona, CA",Husqvarna FC250,21,-,0,15,8
16,72,Martin Castelo,"Murrieta, CA",Suzuki RM-Z250,10,-,0,16,7
17,156,Jacob Hayes,"Greensboro, NC",Yamaha YZ250F,8,-,0,17,6
18,216,Devin Harriman,"Longview, WA",KTM 250 SX-F,22,-,0,18,5
19,427,Deegan Vonlossberg,"Palmdale, CA",Yamaha YZ250F,14,-,0,19,4
20,194,Jerry Robin,"Corcoran, MN",KTM 250 SX-F,18,-,0,20,3
21,67,Enzo Lopes,"Wildomar, CA",Suzuki RM-Z250,19,-,0,21,2
