POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,4,X,20,1,25
2,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,1,-,0,2,22
3,18,David Millsaps,"Murrieta, CA",Suzuki RM-Z450,2,-,0,3,20
4,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,3,-,0,4,18
5,12,Jake Weimer,"Rupert, ID",Kawasaki KX 450F,7,-,0,5,16
6,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,11,-,0,6,15
7,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,20,-,0,7,14
8,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,5,-,0,8,13
9,29,Andrew Short,"Smithville, TX",KTM 450 SX-F,19,-,0,9,12
10,49,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,17,-,0,10,11
11,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,10,-,0,11,10
12,75,Joshua Hill,"Yoncalla, OR",Suzuki RM-Z450,8,-,0,12,9
13,57,Ben Lamay,"Wasilla, AK",Yamaha YZ450F,13,-,0,13,8
14,84,Chris Blose,"Phoenix, AZ",Yamaha YZ450F,18,-,0,14,7
15,374,Cody Gilmore,"Blair, NE",Kawasaki KX 450F,14,-,0,15,6
16,46,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,12,-,0,16,5
17,85,Kyle Partridge,"Lake Elsinore, CA",Honda CRF 450,15,-,0,17,4
18,41,Trey Canard,"Shawnee, OK",Honda CRF 450,6,-,0,18,3
19,143,Michael Horban,"Grants Pass, OR",KTM 450 SX-F,16,-,0,19,2
