POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,1,X,25,1,26
2,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,7,-,0,2,23
3,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,6,-,0,3,21
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,2,-,0,4,19
5,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,8,-,0,5,18
6,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,4,-,0,6,17
7,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,9,-,0,7,16
8,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,11,-,0,8,15
9,64,Vince Friese,"Menifee, CA",Honda CRF450R,12,-,0,9,14
10,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,10,-,0,10,13
11,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,3,-,0,11,12
12,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,5,-,0,12,11
13,50,Benny Bloss,"Oak Grove, MO",Yamaha YZ450F,15,-,0,13,10
14,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,17,-,0,14,9
15,22,Chad Reed,"Cornelius, NC",Honda CRF450R,16,-,0,15,8
16,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,18,-,0,16,7
17,722,Adam Enticknap,"Lompoc, CA",Suzuki RMZ450,21,-,0,17,6
18,393,Daniel Herrlein,"Bethesda, OH",KTM 450SX-F,22,-,0,18,5
19,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F Factory Editi,14,-,0,19,4
20,65,James Weeks,"Punta Gorda, FL",Yamaha YZ450F,19,-,0,20,3
21,44,Kyle Cunningham,"WIllow Park, TX",Suzuki RMZ450,20,-,0,21,2
22,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,13,-,0,22,1
