POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,16,Zach Osborne,"Clermont, FL",Husqvarna FC450 FE,4,X,4,1,26
2,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 FE,1,-,15,2,23
3,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 FE,11,-,6,3,21
4,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,12,-,0,4,19
5,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,6,-,0,5,18
6,20,Broc Tickle,"Holly, MI",Suzuki RMZ450,9,-,0,6,17
7,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,2,-,0,7,16
8,1,Cooper Webb,"Clermont, FL",KTM 450SX-F FE,3,-,0,8,15
9,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,16,-,0,9,14
10,22,Chad Reed,"Cornelius, NC",KTM 450SX-F,18,-,0,10,13
11,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,13,-,0,11,12
12,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,7,-,0,12,11
13,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,15,-,0,13,10
14,50,Benny Bloss,"Oak Grove, MO",KTM 450SX-F FE,14,-,0,14,9
15,64,Vince Friese,"Menifee, CA",Honda CRF450R,17,-,0,15,8
16,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F FE,10,-,0,16,7
17,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F FE,5,-,0,17,6
18,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,21,-,0,18,5
19,31,Fredrik Noren,"Indian Trail, NC",Suzuki RMZ450,20,-,0,19,4
20,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,8,-,0,20,3
21,61,Alex Ray,"Milan, TN",Kawasaki KX450,22,-,0,21,2
22,69,Carlen Gardner,"Paso Robles, CA",Honda CRF450R,19,-,0,22,1
