POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,38,Christian Craig,"Corona, CA",Honda CRF 250,3,-,15,1,25
2,1,Cooper Webb,"Newport, NC",Yamaha YZ250F,1,-,0,2,22
3,37,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,2,-,0,3,20
4,42,Mitchell Oldenburg,"Alvord, TX",KTM 250 SX-F,7,-,0,4,18
5,69,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,5,-,0,5,16
6,35,Chris Alldredge,"Powell Butte, OR",Kawasaki KX 250F,6,-,0,6,15
7,26,Alex Martin,"Millville, MN",Yamaha YZ250F,4,-,0,7,14
8,45,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z250,19,-,0,8,13
9,58,James Decotis,"Peabody, MA",Honda CRF 250,9,X,0,9,12
10,40,Kyle Peters,"Greensboro, NC",Honda CRF 250,15,-,0,10,11
11,85,Michael Leib,"Wildomar, CA",Yamaha YZ250F,17,-,0,11,10
12,68,Cole Martinez,"Rimrock, AZ",Yamaha YZ250F,16,-,0,12,9
13,127,Cole Thompson,"Brigden, Canada",KTM 250 SX-F,12,-,0,13,8
14,43,Fredrik Noren,"Menifee, CA",Honda CRF 250,13,-,0,14,7
15,72,Hayden Mellross,Australia,Yamaha YZ250F,8,-,0,15,6
16,76,Scott Champion,"Wildomar, CA",Yamaha YZ250F,11,-,0,16,5
17,82,Trevor Reis,"Alpine, CA",Yamaha YZ250F,18,-,0,17,4
18,96,Noah Mcconahy,"Spokane, WA",Husqvarna FC250,22,-,0,18,3
19,212,Chase Marquier,"Newcastle, OK",Honda CRF 250,20,-,0,19,2
20,222,Chris Howell,"Spokane Valley, WA",Husqvarna FC250,21,-,0,20,1
21,87,Austin Politelli,"Menifee, CA",Yamaha YZ250F,14,-,0,21,1
