POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,37,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,4,-,13,1,25
2,1,Cooper Webb,"Newport, NC",Yamaha YZ250F,1,-,0,2,22
3,38,Christian Craig,"Corona, CA",Honda CRF 250,2,-,0,3,20
4,69,Colt Nichols,"Muskogee, OK",Yamaha YZ250F,11,-,0,4,18
5,16,Zach Osborne,"LAKE ELSINORE, CA",Husqvarna FC250,3,-,0,5,16
6,42,Mitchell Oldenburg,"Alvord, TX",KTM 250 SX-F,7,-,0,6,15
7,58,James Decotis,"Peabody, MA",Honda CRF 250,6,-,0,7,14
8,40,Kyle Peters,"Greensboro, NC",Honda CRF 250,13,-,0,8,13
9,127,Cole Thompson,"Brigden, Canada",KTM 250 SX-F,9,-,0,9,12
10,68,Cole Martinez,"Rimrock, AZ",Yamaha YZ250F,15,-,0,10,11
11,45,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z250,12,-,0,11,10
12,76,Scott Champion,"Wildomar, CA",Yamaha YZ250F,19,-,0,12,9
13,72,Hayden Mellross,Australia,Yamaha YZ250F,16,-,0,13,8
14,289,Mitchell Harrison,"Murrieta, CA",Yamaha YZ250F,17,-,0,14,7
15,26,Alex Martin,"Millville, MN",Yamaha YZ250F,5,-,0,15,6
16,222,Chris Howell,"Spokane Valley, WA",Husqvarna FC250,18,-,0,16,5
17,733,Steven Mages,"Escondido, CA",KTM 250 SX-F,21,-,0,17,4
18,85,Michael Leib,"Wildomar, CA",Yamaha YZ250F,14,-,0,18,3
19,39,Jordon Smith,"Belmont, NC",Honda CRF 250,8,X,0,19,2
20,87,Austin Politelli,"Menifee, CA",Yamaha YZ250F,22,-,0,20,1
21,35,Chris Alldredge,"Powell Butte, OR",Kawasaki KX 250F,10,-,2,21,1
