POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,7,James Stewart,"Haines City, FL",Suzuki RM-Z450,3,-,10,1,25
2,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,1,-,10,2,22
3,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,4,-,0,3,20
4,94,Ken Roczen,"Murrieta, CA",KTM 450 SX-F Factory Edit,5,-,0,4,18
5,41,Trey Canard,"Edmond, OK",Honda CRF 450,7,-,0,5,16
6,3,Eli Tomac,"Cortez, CO",Honda CRF 450,11,-,0,6,15
7,75,Joshua Hill,"Yoncalla, OR",Suzuki RM-Z450,12,-,0,7,14
8,29,Andrew Short,"Smithville, TX",KTM 450 SX-F Factory Edit,9,-,0,8,13
9,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,8,-,0,9,12
10,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,2,-,0,10,11
11,27,Nicholas Wey,"Murrieta, CA",Kawasaki KX 450F,19,-,0,11,10
12,800,Mike Alessi,"Hilliard, FL",Suzuki RM-Z450,10,X,0,12,9
13,68,Chris Blose,"Phoenix, AZ",Honda CRF 450,13,-,0,13,8
14,77,Jimmy Albertson,"Shawnee, OK",Honda CRF 450,16,-,0,14,7
15,374,Cody Gilmore,"Blair, NE",Kawasaki KX 450F,20,-,0,15,6
16,48,Ben Lamay,"Perris, CA",Yamaha YZ450F,17,-,0,16,5
17,415,Nicholas Schmidt,"Riverside, CA",Honda CRF 450,15,-,0,17,4
18,606,Ronnie Stewart,"Easton, PA",Suzuki RM-Z450,14,-,0,18,3
19,92,Killian Rusk,"Murrieta, CA",Yamaha YZ450F,22,-,0,19,2
20,211,Tevin Tapia,"Menifee, CA",Suzuki RM-Z450,21,-,0,20,1
21,879,Augie Lieber,"Loxahatchee, FL",Suzuki RM-Z450,18,-,0,21,1
22,40,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,6,-,0,22,1
