POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,4,-,2,1,26
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,6,-,11,2,23
3,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,7,-,0,3,21
4,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,5,X,1,4,19
5,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,8,-,0,5,18
6,27,Malcolm Stewart,"Haines City, FL",Yamaha YZ450F,3,-,0,6,17
7,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,9,-,0,7,16
8,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,10,-,0,8,15
9,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,18,-,0,9,14
10,23,Chase Sexton,"Clermont, FL",Honda CRF450R,1,-,0,10,13
11,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,2,-,0,11,12
12,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,12,-,0,12,11
13,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,11,-,0,13,10
14,20,Broc Tickle,"Holly, MI",Honda CRF450R,13,-,0,14,9
15,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,14,-,0,15,8
16,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,16,-,0,16,7
17,84,Josh Hill,"Huntersville, NC",Yamaha YZ450F,17,-,0,17,6
18,83,Alex Ray,"Milan, TN",Kawasaki KX450,19,-,0,18,5
19,28,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,21,-,0,19,4
20,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,22,-,0,20,3
21,722,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,20,-,0,21,2
22,37,Benny Bloss,"Oak Grove, MO",Honda CRF450R,15,-,0,22,1
