POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,1,-,14,1,26
2,23,Chase Sexton,"Clermont, FL",Honda CRF450R,4,-,0,2,23
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC 450 RE,19,-,0,3,21
4,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,11,-,0,4,19
5,1,Eli Tomac,"Cortez, CO",Kawasaki KX450,10,-,0,5,18
6,2,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,7,X,0,6,17
7,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,2,-,0,7,16
8,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,9,-,0,8,15
9,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,3,-,0,9,14
10,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,6,-,0,10,13
11,14,Dylan Ferrandis,"Lake Elsinore, CA",Yamaha YZ450F,8,-,0,11,12
12,36,Martin Davalos,"Tallahassee, FL",KTM 450 SX-F FE,12,-,0,12,11
13,20,Broc Tickle,"Holly, MI",Honda CRF450R,14,-,0,13,10
14,34,Max Anstie,"Murrieta, CA",Suzuki RM-Z450,13,-,0,14,9
15,44,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,17,-,0,15,8
16,84,Josh Hill,"Huntersville, NC",Yamaha YZ450F,16,-,0,16,7
17,280,Cade Clason,"Tucson, AZ",Kawasaki KX450,22,-,0,17,6
18,81,Justin Starling,"Deland, FL",KTM 450 SX-F,18,-,0,18,5
19,70,Henry Miller,"Rochester, MN",KTM 450 SX-F,20,-,0,19,4
20,184,Scott Champion,"Fort Worth, TX",Yamaha YZ450F,21,-,0,20,3
