POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"CORTEZ, CO",Yamaha YZ450F,6,-,8,1,26
2,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,2,X,18,2,23
3,25,Marvin Musquin,"CORONA, CA",KTM 450 SX-F FE,7,-,0,3,21
4,23,Chase Sexton,"CLERMONT, FL",Honda CRF450R WE,3,-,0,4,19
5,1,Cooper Webb,"NEWPORT, NC",KTM 450 SX-F FE,8,-,0,5,18
6,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,1,-,1,6,17
7,15,Dean Wilson,"MURRIETA, CA",Husqvarna FC 450 RE,5,-,0,7,16
8,27,Malcolm Stewart,"HAINES CITY, FL",Husqvarna FC 450 RE,4,-,0,8,15
9,62,Vince Friese,"Menifee, CA",Honda CRF450R,9,-,0,9,14
10,200,Ryan Breece,"Athol, ID",Yamaha YZ450F,13,-,0,10,13
11,95,Justin Starling,"DELAND, FL",GASGAS MC 450F,11,-,0,11,12
12,78,Cade Clason,"Chesterfield, SC",Honda CRF450R,18,-,0,12,11
13,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,10,-,0,13,10
14,61,Fredrik Noren,"INDIAN TRAIL, NC",KTM 450 SX-F,15,-,0,14,9
15,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,12,-,0,15,8
16,57,Kevin Moranz,"Topeka, KS",KTM 450 SX-F,20,-,0,16,7
17,711,Tristan Lane,"Port Orange, FL",KTM 450 SX-F,17,-,0,17,6
18,848,Joan Cros,"Manlleu, BC",Kawasaki KX450,21,-,0,18,5
19,67,Logan Karnow,"Amherst, OH",Kawasaki KX450,19,-,0,19,4
20,26,Alex Martin,"Clermont, FL",Yamaha YZ450F,14,-,0,20,3
21,55,Justin Rodbell,"Prince Frederick, MD",Kawasaki KX450,16,-,0,21,2
22,84,Scott Meshey,"Zephyrhills, FL",Husqvarna FC 250,22,-,0,22,1
