POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,7,X,23,1,26
2,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,3,-,0,2,23
3,14,Dylan Ferrandis,"Tallahassee, FL",Yamaha YZ450F,10,-,0,3,21
4,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,2,-,0,4,19
5,27,Malcolm Stewart,"Murrieta, CA",Husqvarna FC 450 RE,9,-,0,5,18
6,7,Aaron Plessinger,"Hamilton, OH",KTM 450 SX-F FE,17,-,0,6,17
7,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,6,-,0,7,16
8,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,5,-,0,8,15
9,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,1,-,0,9,14
10,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,4,-,3,10,13
11,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,8,-,0,11,12
12,34,Max Anstie,"Wesley Chapel, FL",KTM 450 SX-F,14,-,0,12,11
13,12,Shane McElrath,"Oakland, FL",KTM 450 SX-F FE,11,-,0,13,10
14,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,16,-,0,14,9
15,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,18,-,0,15,8
16,54,Mitchell Oldenburg,"Aledo, TX",Honda CRF450R,15,-,0,16,7
17,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,19,-,0,17,6
18,751,Josh Hill,"Huntersville, NC",KTM 450 SX-F,21,-,0,18,5
19,200,Ryan Breece,"Athol, ID",Yamaha YZ450F,20,-,0,19,4
20,26,Alex Martin,"Clermont, FL",Yamaha YZ450F,13,-,0,20,3
21,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,12,-,0,21,2
22,61,Fredrik Noren,"Indian Trail, NC",KTM 450 SX-F,22,-,0,22,1
