POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,2,1,2,26,Red Bull KTM
2,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,1,3,3,23,Team Honda HRC
3,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,4,4,1,21,Monster Energy Yamaha Star Racing
4,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,6,2,5,19,Monster Energy Kawasaki
5,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,5,5,4,18,Troy Lee Designs Red Bull GASGAS Factory Racing
6,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,7,7,7,17,Smartop Bullfrog Spas MotoConcepts Honda
7,62,Vince Friese,"Menifee, CA",Honda CRF450R,8,6,10,16,Smartop Bullfrog Spas MotoConcepts Honda
8,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,9,8,9,15,H.E.P. Suzuki
9,27,Malcolm Stewart,"Haines City, FL",Husqvarna FC 450 RE,3,19,6,14,Rockstar Energy Husqvarna Factory Racing
10,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,17,9,8,13,H.E.P. Suzuki
11,78,Cade Clason,"Chesterfield, SC",Honda CRF450R,11,12,11,12,SGB Unlimited Honda
12,61,Fredrik Noren,"Indian Trail, NC",KTM 450 SX-F,13,10,12,11,"Browns RV Superstore, Cole Racing"
13,95,Justin Starling,"Deland, FL",GASGAS MC 450F,12,13,14,10,"FXR, SKDA, JSR Motorsports"
14,200,Ryan Breece,"Athol, ID",Yamaha YZ450F,10,11,18,9,"Westside & Mount Rushmore Motorsports, TPJ Racing, WTP, DSC"
15,73,Benny Bloss,"Oak Grove, MO",KTM 450 SX-F,14,18,13,8,Team Tedder Monster Energy Lucas Oil KTM Racing
16,67,Logan Karnow,"Amherst, OH",Kawasaki KX450,15,15,15,7,"THE PEOPLE, Namura Pistons, FXR, TCD, Rick Ware Racing"
17,87,Alex Ray,"Milan, TN",Honda CRF450R,19,14,16,6,SGB Unlimited Honda
18,55,Justin Rodbell,"Prince Frederick, MD",Kawasaki KX450,16,16,19,5,"Team PRMX, Partzilla, SOBMX"
19,722,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,18,17,17,4,H.E.P. Suzuki
20,848,Joan Cros,"Manlleu, BC",Kawasaki KX450,21,20,20,3,"MADD Parts, Circuit Equipment, Namura Tech, Kawasaki"
21,26,Alex Martin,"Clermont, FL",Yamaha YZ450F,20,22,22,2,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha"
22,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,22,21,21,1,Rockstar Energy Husqvarna Factory Racing
