POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1,Ryan Villopoto,"Seattle, WA",Kawasaki KX 450F,1,-,19,1,25
2,5,Ryan Dungey,"Belle Plaine, MN",KTM 450 SX-F Factory Edit,2,-,0,2,22
3,18,David Millsaps,"Murrieta, CA",Suzuki RM-Z450,3,-,0,3,20
4,12,Jake Weimer,"Rupert, ID",Kawasaki KX 450F,4,X,1,4,18
5,51,Justin Barcia,"Pinetta, FL",Honda CRF 450,8,-,0,5,16
6,22,Chad Reed,"Dade City, FL",Honda CRF 450,9,-,0,6,15
7,46,Weston Peick,"Wildomar, CA",Suzuki RM-Z450,7,-,0,7,14
8,10,Justin Brayton,"Cornelius, NC",Yamaha YZ450F,6,-,0,8,13
9,29,Andrew Short,"Smithville, TX",KTM 450 SX-F,10,-,0,9,12
10,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,12,-,0,10,11
11,49,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,15,-,0,11,10
12,39,Robert Kiniry,"Holland Patent, NY",Yamaha YZ450F,19,-,0,12,9
13,56,Kyle Regal,"Howell, MI",Yamaha YZ450F,17,-,0,13,8
14,75,Joshua Hill,"Yoncalla, OR",Suzuki RM-Z450,11,-,0,14,7
15,84,Chris Blose,"Phoenix, AZ",Yamaha YZ450F,14,-,0,15,6
16,374,Cody Gilmore,"Blair, NE",Kawasaki KX 450F,16,-,0,16,5
17,85,Kyle Partridge,"Lake Elsinore, CA",Honda CRF 450,13,-,0,17,4
18,415,Nicholas Schmidt,"Seattle, WA",Honda CRF 450,20,-,0,18,3
19,95,Tevin Tapia,"Menifee, CA",Suzuki RM-Z450,18,-,0,19,2
20,41,Trey Canard,"Shawnee, OK",Honda CRF 450,5,-,0,20,1
