POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,25,Marvin Musquin,"Corona, CA",KTM 250 SX-F,1,X,15,1,25
2,6,Jeremy Martin,"Millville, MN",Yamaha YZ250F,8,-,0,2,22
3,37,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,2,-,0,3,20
4,1,Justin Bogle,"Cushing, OK",Honda CRF 250,3,-,0,4,18
5,62,Anthony Rodriguez,"Cairo, GA",Yamaha YZ250F,9,-,0,5,16
6,49,James Decotis,"Peabody, MA",Honda CRF 250,5,-,0,6,15
7,343,Luke Renzland,"Hewitt, NJ",Yamaha YZ250F,7,-,0,7,14
8,35,Kyle Cunningham,"Aledo, TX",Honda CRF 250,10,-,0,8,13
9,79,Jace Owen,"Mattoon, IL",Honda CRF 250,12,-,0,9,12
10,55,Kyle Peters,"Greensboro, NC",Honda CRF 250,4,-,0,10,11
11,88,Dakota Alix,"Jay, VT",KTM 250 SX-F,16,-,0,11,10
12,393,Daniel Herrlein,"Bethesda, OH",Honda CRF 250,17,-,0,12,9
13,126,Jordon Smith,"Belmont, NC",Honda CRF 250,6,-,0,13,8
14,64,Aj Catanzaro,"Portland, CT",Suzuki RM-Z250,14,-,0,14,7
15,74,Zack Williams,"Elko, MN",Honda CRF 250,20,-,0,15,6
16,986,Colt Nichols,"Muskogee, OK",Honda CRF 250,13,-,0,16,5
17,52,Mitchell Oldenburg,"Alvord, TX",Yamaha YZ250F,11,-,0,17,4
18,395,Taylor Potter,"Warranwood, Australia",Honda CRF 250,22,-,0,18,3
19,78,Preston Mull,"Livingston, CA",Yamaha YZ250F,15,-,0,19,2
20,83,Levi Kilbarger,"Logan, OH",Yamaha YZ250F,21,-,0,20,1
21,700,Shawn Rife,"Mechanicsburg, OH",KTM 250 SX-F,19,-,0,21,1
22,77,Justin Starling,"Deland, FL",Yamaha YZ250F,18,-,0,22,1
