POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,10,-,5,1,25
2,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,9,-,16,2,22
3,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,2,-,0,3,20
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,1,-,0,4,18
5,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,5,-,0,5,16
6,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,12,-,0,6,15
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,6,-,0,7,14
8,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,7,-,0,8,13
9,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,3,-,0,9,12
10,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,19,-,0,10,11
11,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,8,-,0,11,10
12,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,13,-,0,12,9
13,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,14,-,0,13,8
14,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,15,X,0,14,7
15,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,16,-,0,15,6
16,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,18,-,0,16,5
17,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,4,-,0,17,4
18,314,Alex Ray,"Milan, TN",Husqvarna FC450,20,-,0,18,3
19,80,Cade Clason,"Chesterfield, SC",Honda CRF 450,21,-,0,19,2
20,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,22,-,0,20,1
21,67,Jimmy Albertson,"Shawnee, OK",Suzuki RM-Z450,17,-,0,21,1
22,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,11,-,0,22,1
