POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,94,Ken Roczen,"Clermont, FL",Honda CRF 450,1,X,20,1,25
2,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,3,-,0,2,22
3,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,5,-,0,3,20
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,8,-,0,4,18
5,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,2,-,0,5,16
6,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,7,-,0,6,15
7,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,11,-,0,7,14
8,32,Weston Peick,"Menifee, CA",Suzuki RM-Z450,15,-,0,8,13
9,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,19,-,0,9,12
10,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,14,-,0,10,11
11,12,Jake Weimer,"Huntington Beach , CA",Suzuki RM-Z450,10,-,0,11,10
12,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,12,-,0,12,9
13,15,Dean Wilson,"Clermont, FL",Yamaha YZ450F,16,-,0,13,8
14,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,4,-,0,14,7
15,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,17,-,0,15,6
16,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,9,-,0,16,5
17,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,13,-,0,17,4
18,67,Jimmy Albertson,"Shawnee, OK",Suzuki RM-Z450,21,-,0,18,3
19,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,20,-,0,19,2
20,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,6,-,0,20,1
21,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,18,-,0,21,1
