POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,2,-,9,1,25
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,3,-,13,2,22
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,1,X,1,3,20
4,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,5,-,0,4,18
5,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,4,-,0,5,16
6,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,11,-,0,6,15
7,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,9,-,0,7,14
8,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,7,-,1,8,13
9,51,Justin Barcia,"Greenville, FL",Suzuki RM-Z450,8,-,0,9,12
10,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,12,-,0,10,11
11,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,16,-,0,11,10
12,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,13,-,0,12,9
13,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,14,-,0,13,8
14,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,6,-,0,14,7
15,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,19,-,0,15,6
16,80,Cade Clason,"Chesterfield, SC",Honda CRF 450,15,-,0,16,5
17,95,Aj Catanzaro,"Reston, VA",Kawasaki KX 450F,21,-,0,17,4
18,151,Dakota Tedder,"Surfside, CA",Kawasaki KX 450F,22,-,0,18,3
19,941,Angelo Pellegrini,Italy,Suzuki RM-Z450,20,-,0,19,2
20,606,Ronnie Stewart,"Princeton, NJ",Suzuki RM-Z450,18,-,0,20,1
21,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,10,-,0,21,1
22,240,Bryce Stewart,"Canyon Lake, CA",Honda CRF 450,17,-,0,22,1
