POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,19,-,18,1,26
2,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,9,-,0,2,23
3,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,4,X,8,3,21
4,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,7,-,0,4,19
5,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,5,-,0,5,18
6,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,16,-,0,6,17
7,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,3,-,0,7,16
8,94,Ken Roczen,"Clermont, FL",Honda CRF 450,1,-,0,8,15
9,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,6,-,0,9,14
10,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,13,-,0,10,13
11,111,Chris Blose,"Phoenix, AZ",Husqvarna FC450,14,-,0,11,12
12,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,15,-,0,12,11
13,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,12,-,0,13,10
14,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,18,-,0,14,9
15,60,Justin Starling,"Deland, FL",Husqvarna FC450,21,-,0,15,8
16,99,Austin Politelli,"Murrieta, CA",Honda CRF 450,20,-,0,16,7
17,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,17,-,0,17,6
18,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,22,-,0,18,5
19,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,10,-,0,19,4
20,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,8,-,0,20,3
21,33,Joshua Grant,"Wildomar, CA",Yamaha YZ450F,11,-,0,21,2
22,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,2,-,0,22,1
