POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,8,-,3,1,26
2,1,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,12,-,9,2,23
3,94,Ken Roczen,"Clermont, FL",Honda CRF 450,16,X,6,3,21
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,19,-,0,4,19
5,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,1,-,0,5,18
6,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,7,-,0,6,17
7,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,2,-,0,7,16
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,11,-,0,8,15
9,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,3,-,0,9,14
10,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,9,-,0,10,13
11,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,10,-,0,11,12
12,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,6,-,0,12,11
13,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,14,-,0,13,10
14,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,4,-,0,14,9
15,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,13,-,0,15,8
16,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,20,-,0,16,7
17,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,15,-,0,17,6
18,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,17,-,0,18,5
19,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,18,-,0,19,4
20,606,Ronnie Stewart,"East Waterboro, ME",Husqvarna FC450,21,-,0,20,3
21,118,Cheyenne Harmon,"Dallas, TX",Yamaha YZ450F,22,-,0,21,2
22,27,Malcolm Stewart,"Haines City, FL",Honda CRF 450,5,-,0,22,1
