POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,38,Shane Mcelrath,"Canton, NC",KTM 250SX-F Factory Editi,6,-,13,1,25
2,28,Mitchell Oldenburg,"Alvord, TX",KTM 250SX-F Factory Editi,3,-,0,2,22
3,46,Justin Hill,"Yoncalla, OR",Kawasaki KX 250F,4,-,0,3,20
4,30,Martin Davalos,"Clermont, FL",Husqvarna FC250,1,-,0,4,18
5,57,James Decotis,"Peabody, MA",Honda CRF 250,11,-,0,5,16
6,24,Austin Forkner,"Richards, MO",Kawasaki KX 250F,5,X,0,6,15
7,122,Dan Reardon,"Menifee, CA",Yamaha YZ250F,8,-,0,7,14
8,64,Hayden Mellross,Australia,Yamaha YZ250F,13,-,0,8,13
9,11,Kyle Chisholm,"Valrico, FL",Honda CRF 250,10,-,0,9,12
10,52,Tyler Bowers,"Corona, CA",Yamaha YZ250F,7,-,0,10,11
11,179,Jon Ames,"Riverside, CA",Yamaha YZ250F,20,-,0,11,10
12,53,Cole Martinez,"Rimrock, AZ",Yamaha YZ250F,12,-,0,12,9
13,330,Cade Autenrieth,"Hemet, CA",Suzuki RM-Z250,14,-,0,13,8
14,338,Ryan Surratt,"Corona, CA",Kawasaki KX 250F,15,-,0,14,7
15,71,Justin Starling,"Deland, FL",Husqvarna FC250,19,-,0,15,6
16,95,Aj Catanzaro,"Reston, VA",Yamaha YZ250F,18,-,0,16,5
17,68,Heath Harrison,"Silverhill, AL",Yamaha YZ250F,16,-,0,17,4
18,203,Zachary Commans,"Seal Beach, CA",Kawasaki KX 250F,22,-,0,18,3
19,660,Stone Edler,"Destrehan, LA",Yamaha YZ250F,21,-,0,19,2
20,76,Scott Champion,"Orange, CA",Yamaha YZ250F,17,-,0,20,1
21,244,Justin Hoeft,"Castaic, CA",Yamaha YZ250F,9,-,0,21,1
22,23,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,2,-,7,22,1
