POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,46,Justin Hill,"Yoncalla, OR",Kawasaki KX 250F,4,-,16,1,25
2,30,Martin Davalos,"Clermont, FL",Husqvarna FC250,1,X,0,2,22
3,38,Shane Mcelrath,"Canton, NC",KTM 250SX-F Factory Editi,19,-,0,3,20
4,57,James Decotis,"Peabody, MA",Honda CRF 250,12,-,0,4,18
5,37,Phillip Nicoletti,"Bethel, NY",Suzuki RM-Z250,10,-,0,5,16
6,23,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,2,-,0,6,15
7,11,Kyle Chisholm,"Valrico, FL",Honda CRF 250,7,-,0,7,14
8,71,Justin Starling,"Deland, FL",Husqvarna FC250,20,-,0,8,13
9,59,Noah Mcconahy,"Spokane, WA",Yamaha YZ250,11,-,0,9,12
10,68,Heath Harrison,"Silverhill, AL",Yamaha YZ250F,13,-,0,10,11
11,53,Cole Martinez,"Rimrock, AZ",Yamaha YZ250F,6,-,0,11,10
12,122,Dan Reardon,"Menifee, CA",Yamaha YZ250F,3,-,0,12,9
13,902,Killian Auberson,Switzerland,KTM 250 SX-F,14,-,0,13,8
14,99,Chase Marquier,"Newcastle, OK",Honda CRF 250,21,-,0,14,7
15,338,Ryan Surratt,"Corona, CA",Kawasaki KX 250F,16,-,0,15,6
16,179,Jon Ames,"Riverside, CA",Yamaha YZ250F,15,-,0,16,5
17,244,Justin Hoeft,"Castaic, CA",Yamaha YZ250F,22,-,0,17,4
18,87,Chris Howell,"Spokane Valley, WA",Husqvarna FC250,18,-,0,18,3
19,95,Aj Catanzaro,"Reston, VA",Yamaha YZ250F,5,-,0,19,2
20,76,Scott Champion,"Orange, CA",Yamaha YZ250F,17,-,0,20,1
21,100,Joshua Hansen,"Elbert, CO",Husqvarna FC250,8,-,0,21,1
