POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,28,Christian Craig,"Temecula, CA",Yamaha YZ250F,1,-,16,1,26
2,62,Vince Friese,"Menifee, CA",Honda CRF250R,7,-,0,2,23
3,29,Michael Mosiman,"Minneaola, FL",GASGAS MC 250F,5,-,0,3,21
4,35,Garrett Marchbanks,"Coalville, UT",Yamaha YZ250F,2,-,0,4,19
5,910,Carson Brown,"Ravensdale, WA",KTM 250 SX-F,10,-,0,5,18
6,66,Chris Blose,"Phoenix, AZ",GASGAS MC 250F,13,-,0,6,17
7,69,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,6,-,0,7,16
8,74,Derek Kelley,"Riverside, CA",KTM 250 SX-F,8,-,0,8,15
9,67,Logan Karnow,"Amherst, OH",Kawasaki KX250,15,-,0,9,14
10,58,Ryan Surratt,"Corona, CA",Yamaha YZ250F,14,-,0,10,13
11,432,Kaeden Amerine,"Great Bend, KS",KTM 250 SX-F,19,-,0,11,12
12,914,Geran Stapleton,"Clyde North, VIC",GASGAS MC 250F,21,-,0,12,11
13,216,Devin Harriman,"Longview, WA",KTM 250 SX-F,22,-,0,13,10
14,158,Tre Fierro,"El Paso, TX",Kawasaki KX250,18,-,0,14,9
15,98,Dominique Thury,"Schneeberg, GER",Yamaha YZ250F,11,-,0,15,8
16,162,Maxwell Sanford,"Pasadena, MD",Honda CRF250R,16,-,0,16,7
17,260,Dylan Woodcock,"Rayleigh, ENG",Husqvarna FC 250,17,-,0,17,6
18,96,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,3,-,0,18,5
19,97,Jerry Robin,"Hamel, MN",GASGAS MC 250F,12,-,0,19,4
