POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Suzuki RM-Z450,20 Laps,0:57.088,"Soaring Eagle, Jimmy John's, Suzuki Factory Racing "
2,3,Eli Tomac,"Cortez,CO",Kawasaki KX 450F,9.022,0:57.599,"MONSTER ENERGY KAWASAKI
"
3,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,25.054,0:57.525,KTM/RED BULL/MOTOREX/AKRAPOVIC/WP/DUNLOP
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,29.422,0:58.105,ROCKSTAR ENERGY/HUSQVARNA FACTORY RACING/BEL-RAY/WP/FMF
5,41,Trey Canard,"Edmond, OK",Honda CRF 450,32.048,0:58.750,Honda HRC/Fly Racing/DC Shoes/Scott/Alpinestars/Leatt
6,19,Justin Bogle,"Cushing, OK",Honda CRF 450,48.879,0:59.881,GEICO Honda
7,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,51.406,0:59.716,"Honda HRC
"
8,28,Weston Peick,"Menifee, CA",Yamaha YZ450F,52.540,1:00.022,"Autotrader/Monster/Yamaha team
"
9,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,55.451,0:59.853,"Monster Energy, 360 Fly, Chaparral, Yamaha Factory Racing"
10,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,19 Laps,1:00.578,KTM/RED BULL/MOTOREX/AKRAPOVIC/WP/DUNLOP
11,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,2.783,0:59.798,MONSTER ENERGY KAWASAKI 
12,10,Justin Brayton,"Mint Hill, NC",KTM 450 SX-F Factory Edit,16.451,0:59.891,BTOSports.com / KTM / WPS
13,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,28.535,1:00.480,Smartop MotoConcepts Racing
14,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,28.788,1:00.354,"Soaring Eagle, Jimmy John's, Suzuki Factory Racing "
15,27,Nicholas Wey,"Murrieta, CA",Kawasaki KX 450F,1:00.302,1:02.820,Team Tedder/Monster Energy/Kawasaki Racing.
16,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,18 Laps,1:02.760,Smartop
17,761,Cade Clason,"Chesterfield, SC",Honda CRF 450,12.219,1:03.804,"K1 Speed, BWR Engines, SSi Decals, Race-Tech Suspension, Freeport Honda Kawasaki, AXO, Rekluse Motorsports, Performance Electronics, Addidas, Bell Helmets, Bel-Ray, TuBliss, Works Connection, No-Toil, Evans Waterless Coolant, MotoSeat, Yoshimura, Dunlop, "
18,86,Aj Catanzaro,"Savannah, GA",Kawasaki KX 450F,13.244,1:03.811,East coast fiberglass/Complex building solutions
19,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,33.681,1:01.863,Autotrader/Monster/Yamaha/JGR team
20,314,Alex Ray,"Milan, TN",Honda CRF 450,15 Laps,1:04.960,"Spider Engergy Drink/K-1 Speed/FXR/Noleen J6/Sidi/Aria/SSI decals/Pirelli/Rekluse/Motoseat/Yoshimura/Vertex/Hot cams/NoTool/Mika Metals/TMM/Asterisk/Evans/Ethika/Works Connection/Bob""s House of Honda"
21,79,Nicholas Schmidt,"Lake Elsinore, CA",Suzuki RM-Z450,11 Laps,1:02.429,-- none listed --
22,12,Jacob Weimer,"Wildomar, CA",Suzuki RM-Z450,2 Laps,1:03.221,Soaring Eagle/ Jimmy Johns/ Suzuki Factory Racing
