POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Suzuki RM-Z450,20 Laps,0:54.258,"Soaring Eagle, Jimmy John's, Suzuki Factory Racing "
2,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,3.401,0:54.703,KTM/RED BULL/MOTOREX/AKRAPOVIC/WP/DUNLOP
3,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,7.706,0:54.604,KTM/RED BULL/MOTOREX/AKRAPOVIC/WP/DUNLOP
4,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,15.036,0:55.161,"Honda HRC
"
5,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,17.484,0:54.973,"MONSTER ENERGY KAWASAKI
"
6,10,Justin Brayton,"Mint Hill, NC",KTM 450 SX-F Factory Edit,18.080,0:55.682,BTO Sports/KTM/WPS 
7,41,Trey Canard,"Edmond, OK",Honda CRF 450,19.441,0:55.304,Honda HRC/Fly Racing/DC Shoes/Scott/Alpinestars/Leatt
8,28,Weston Peick,"Menifee, CA",Yamaha YZ450F,32.231,0:56.067,"Autotrader/Monster/Yamaha team
"
9,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,35.968,0:55.366,ROCKSTAR ENERGY/HUSQVARNA FACTORY RACING/BEL-RAY/WP/FMF
10,12,Jacob Weimer,"Wildomar, CA",Suzuki RM-Z450,37.122,0:56.439,Soaring Eagle/ Jimmy Johns/ Suzuki Factory Racing
11,4,Blake Baggett,"Grand Terrace, CA",Suzuki RM-Z450,19 Laps,0:57.075,Yoshimura Suzuki Factory Racing
12,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,9.356,0:56.991,Smartop Mototconcepts
13,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,14.759,0:57.245,Smartop MotoConcepts Racing
14,27,Nicholas Wey,"Murrieta, CA",Kawasaki KX 450F,32.427,0:57.811,Team Tedder/Monster Energy/Kawasaki Racing.
15,86,Aj Catanzaro,"Savannah, GA",Kawasaki KX 450F,55.100,0:58.825,Pilgrim Powersports/East Coast Fiberglass/Complex Building Solutions/Federal Hill Home Theatres/Moto VIP
16,79,Nicholas Schmidt,"Lake Elsinore, CA",Suzuki RM-Z450,1:01.190,0:59.855,TPJ Fly Racing Suzuki/Team3br DSC construction 
17,761,Cade Clason,"Chesterfield, SC",Honda CRF 450,18 Laps,0:59.643,"K1 Speed, BWR Engines, SSi Decals, Race-Tech Suspension, Freeport Honda Kawasaki, AXO, Rekluse Motorsports, Performance Electronics, Addidas, Bell Helmets, Bel-Ray, TuBliss, Works Connection, No-Toil, Evans Waterless Coolant, MotoSeat, Yoshimura, Dunlop, "
18,447,Deven Raper,"Mesa, AZ",Kawasaki KX 450F,17 Laps,1:02.081,"Kelly's Kawasaki, RJC Racing, Dr.D (Dubach Racing Development), O'neal, Rekluse, Crank Works,Race Tech, Silo Creationz, Shoei, VonZipper, Mika Metals, DT-1 air filters, Milestone MX, RK/Excel, Dunlop, Motofoundry "
19,45,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,8 Laps,0:58.999,Motorcycle Superstore Suzuki 
20,47,Thomas Hahn,"Decatur, TX",Yamaha YZ450F,DNF,,CycleTrader Rock River Yamaha GPI
21,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,DNS,,"Monster Energy, 360 Fly, Chaparral, Yamaha Factory Racing"
22,19,Justin Bogle,"Cushing, OK",Honda CRF 450,DNS,,GEICO Honda
