POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,20 Laps,1:04.922,"MONSTER ENERGY KAWASAKI
"
2,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,2.160,1:04.851,KTM/RED BULL/MOTOREX/AKRAPOVIC/WP/DUNLOP
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,20.177,1:05.230,KTM/RED BULL/MOTOREX/AKRAPOVIC/WP/DUNLOP
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,36.164,1:05.868,ROCKSTAR ENERGY/HUSQVARNA FACTORY RACING/BEL-RAY/WP/FMF
5,94,Ken Roczen,"Clermont, FL",Suzuki RM-Z450,38.579,1:06.413,"Soaring Eagle, Jimmy John's, Suzuki Factory Racing "
6,41,Trey Canard,"Edmond, OK",Honda CRF 450,52.598,1:07.052,Honda HRC/Fly Racing/DC Shoes/Scott/Alpinestars/Leatt
7,33,Joshua Grant,"Wildomar, CA",Suzuki RM-Z450,59.500,1:07.042,HLTN CO
8,377,Christophe Pourcel,"San Antonio, FL",Husqvarna FC450,1:01.090,1:07.233,ROCKSTAR ENERGY/HUSQVARNA FACTORY RACING/BEL-RAY/WP/FMF
9,10,Justin Brayton,"Mint Hill, NC",KTM 450 SX-F Factory Edit,1:02.541,1:07.381,BTO Sports/KTM/WPS 
10,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,1:04.747,1:07.288,"Honda HRC
"
11,19,Justin Bogle,"Cushing, OK",Honda CRF 450,1:05.957,1:07.330,GEICO Honda
12,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,1:07.257,1:07.572,"Monster Energy, 360 Fly, Chaparral, Yamaha Factory Racing"
13,4,Blake Baggett,"Grand Terrace, CA",Suzuki RM-Z450,19 Laps,1:07.697,Yoshimura Suzuki Factory Racing
14,55,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,10.703,1:08.923,Smartop Mototconcepts
15,45,Kyle Cunningham,"Willow Park, TX",Suzuki RM-Z450,17.240,1:09.703,Motorcycle Superstore Suzuki
16,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,19.414,1:07.879,Smartop MotoConcepts Racing
17,12,Jacob Weimer,"Wildomar, CA",Suzuki RM-Z450,21.567,1:08.736,Soaring Eagle/ Jimmy Johns/ Suzuki Factory Racing
18,28,Weston Peick,"Menifee, CA",Yamaha YZ450F,1:00.101,1:09.192,"Autotrader/Monster/Yamaha team
"
19,18,David Millsaps,"Murrieta, CA",KTM 450 SX-F Factory Edit,18 Laps,1:07.303,BTO Sports/KTM/WPS 
20,79,Nicholas Schmidt,"Lake Elsinore, CA",Suzuki RM-Z450,1:47.005,1:10.975,TPJ Fly Racing Suzuki/Team3br DSC construction
21,34,Phillip Nicoletti,"Bethel, NY",Yamaha YZ450F,2:03.024,1:07.444,Autotrader/Monster/Yamaha team 
22,47,Thomas Hahn,"Decatur, TX",Yamaha YZ450F,5 Laps,1:10.977,CycleTrader Rock River Yamaha GPI
