POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,1,-,16,1,26
2,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,5,-,0,2,23
3,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,2,-,0,3,21
4,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,10,-,0,4,19
5,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,11,-,0,5,18
6,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,9,-,0,6,17
7,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,3,-,0,7,16
8,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,4,-,10,8,15
9,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,7,-,0,9,14
10,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,12,-,0,10,13
11,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450 Factory E,6,-,0,11,12
12,20,Broc Tickle,"Holly, MI",Suzuki RMZ450,8,-,0,12,11
13,64,Vince Friese,"Menifee, CA",Honda CRF450R,17,-,0,13,10
14,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,14,-,0,14,9
15,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,13,-,0,15,8
16,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,15,-,0,16,7
17,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,18,-,0,17,6
18,44,Kyle Cunningham,"WIllow Park, TX",Suzuki RMZ450,20,-,0,18,5
19,22,Chad Reed,"Cornelius, NC",Honda CRF450R,19,-,0,19,4
20,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,21,-,0,20,3
21,722,Adam Enticknap,"Lompoc, CA",Suzuki RMZ450,22,-,0,21,2
