POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,26 Laps,0:48.090,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
2,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,2.449,0:48.500,Rocky Mountain ATV/MC - KTM - WPS
3,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,5.298,0:48.501,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,20.508,0:48.609,MONSTER ENERGY KAWASAKI
5,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,27.428,0:49.248,MONSTER ENERGY-YAMAHA FACTORY RACING
6,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,30.484,0:48.228,MONSTER ENERGY KAWASAKI
7,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,33.661,0:49.585,Rockstar Energy Husqvarna Factory Racing
8,94,Ken Roczen,"Clermont, FL",Honda CRF 450,42.993,0:49.269,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
9,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,45.557,0:49.894,Rockstar Energy Husqvarna Factory Racing
10,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,55.957,0:49.795,Smartop Bullfrog Spas Honda
11,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,25 Laps,0:50.074,Jgrmx/Yoshimura/Factory Suzuki Racing
12,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,2.399,0:49.767,Team Honda HRC
13,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,22.047,0:50.314,Triggr Racing/Blud Lubricants/AHM Factory Services/Kawasaki
14,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,24.281,0:50.947,Jgrmx/Yoshimura/Suzuki Factory Racing
15,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,37.709,0:50.387,Rocky Mountain ATV/MC - KTM - WPS
16,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,45.649,0:51.450,H.E.P. Motorsports Suzuki/Thor/Mayhem Wheels/Redline Oil
17,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,54.131,0:51.444,-- none listed --
18,111,Chris Blose,"Phoenix, AZ",Husqvarna FC450,24 Laps,0:51.729,"RJC RACING, AEO POWERSPORTS, PREMIUM MOTORS"
19,201,Cedric Soubeyras,"Venasque, France",Husqvarna FC450,27.376,0:51.231,"Comité olympique Luxembourgeois, Team 2B Moraco, Monster Energy, Fox, Scott"
20,97,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,36.339,0:52.237,H.E.P. Motorsports Suzuki/Thor/Mayhem Wheels/Redline Oil
21,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,23 Laps,0:51.474,TPJ/FLY Racing/LBeardsleyCPA/Xbrand/RTS inc/Race Tech/Devol/Neken/Bills Pipe/Gaerne/GET data/Evs Sports/Ogio/Dubya usa
22,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,39.972,0:52.265,CycleTrader Rock River YAMAHA
