POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,25 Laps,0:50.248,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
2,94,Ken Roczen,"Clermont, FL",Honda CRF 450,0.028,0:49.544,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,10.784,0:50.017,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,15.401,0:50.243,Rocky Mountain ATV/MC - KTM - WPS
5,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450,18.360,0:50.399,MONSTER ENERGY KAWASAKI
6,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,23.241,0:50.435,Team Honda HRC
7,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,26.545,0:50.838,MONSTER ENERGY-YAMAHA FACTORY RACING
8,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,29.567,0:50.846,Rockstar Energy Husqvarna Factory Racing
9,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,30.739,0:50.834,MONSTER ENERGY-YAMAHA FACTORY RACING
10,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,41.282,0:51.145,Smartop Bullfrog Spas Honda
11,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,45.767,0:51.416,Jgrmx/Yoshimura/Factory Suzuki Racing
12,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,49.446,0:50.246,MONSTER ENERGY KAWASAKI
13,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,24 Laps,0:51.255,Jgrmx/Yoshimura/Suzuki Factory Racing
14,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,0.453,0:51.881,H.E.P. Motorsports Suzuki
15,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,16.975,0:52.461,TPJ/FLY Racing/LBeardsleyCPA/Xbrand/RTS inc/Race Tech/Devol/Neken/Bills Pipe/Gaerne/GET data/Evs Sports/Ogio/Dubya usa
16,71,Cole Martinez,"Rimrock, AZ",Suzuki RM-Z450,25.039,0:52.574,Leatt/Dunlop/J and j racing/Twisted development/Back yard designs/Dt1 Mika metals/Acerbis/Crankworks/Rekulise Motostuff
17,111,Chris Blose,"Phoenix, AZ",Husqvarna FC450,29.507,0:52.806,Gas Monkey Energy / AJE Motorsports
18,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,23 Laps,0:52.874,BWR I L-TEC I SSI
19,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,2.448,0:52.488,H.E.P. Motorsports Suzuki
20,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,16.189,0:51.820,Rocky Mountain ATV/MC - KTM - WPS
21,606,Ronnie Stewart,"East Waterboro, ME",Husqvarna FC450,29.102,0:52.938,"Liberty Elevator Corp, ISC Racers Tape, 50 Yardline Sports Bar, FXR Moto, Hellbound Racing, DeCal Works, Ocean County Powersports, Factory Connection, Pirelli, Hinson Clutch Components, Sunstar, 6D Helmets, Asterisk, Yoshimura, Works Connection, Motostuff"
22,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,8 Laps,0:50.799,Rockstar Energy Husqvarna Factory Racing
