POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450,22 Laps,0:58.868,MONSTER ENERGY KAWASAKI
2,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,12.061,0:59.527,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
3,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,17.466,1:00.365,"RED BULL, KTM, MOTOREX, AKRAPOVIC, DUNLOP"
4,94,Ken Roczen,"Clermont, FL",Honda CRF 450,18.216,1:00.318,"TEAM HONDA HRC, FOX RACING, RED BULL, STANCE, BREITLING, CANYON BICYCLES, ART OF SPORT"
5,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450,29.872,1:00.417,Rockstar Energy Husqvarna Factory Racing
6,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,42.680,1:01.320,Team Honda HRC
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,48.397,1:00.834,Rocky Mountain ATV/MC - KTM - WPS
8,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450,55.636,1:01.854,Triggr Racing/Blud Lubricants/AHM Factory Services/Kawasaki
9,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,1:00.694,1:01.927,Jgrmx/Yoshimura/Suzuki Factory Racing
10,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,21 Laps,1:01.759,Rocky Mountain ATV/MC - KTM - WPS
11,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,2.960,1:01.827,Smartop Bullfrog Spas Honda
12,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,5.575,1:01.965,Smartop Bullfrog Spas Honda
13,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,13.365,1:02.660,Genuine Broaster Chicken Suzuki/Thor/Mayhem Wheels
14,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,36.547,1:02.480,CycleTrader Rock River YAMAHA
15,62,Alex Ray,"Milan, TN",Suzuki RM-Z450,49.372,1:03.335,Genuine Broaster Chicken Suzuki/Thor/Mayhem Wheels
16,49,Henry Miller,"Rochester, MN",KTM 450 SX-F,1:01.671,1:03.269,Stussy construction/R&B car company/FXR/Ownes locker plant/Method pools/Eks goggles/6D helmets/Blud lubricants/FMF/Dirt tricks/Hoosier Tires/Powerband/Guts racing/EVS/Sidi boots/JL photography/Black Diamond graphics/Twin Air/Hinson/Motion Pro/Renthal/Wor
17,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,20 Laps,1:04.365,BWR - L-Tec - SSI Decals
18,97,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,9.480,1:04.468,Genuine Broaster Chicken Suzuki/Thor/Mayhem Wheels
19,224,Charles Lefrancois,"Folligny, France",Suzuki RM-Z450,13.010,1:05.659,TEAM SR75/Suzuki/Shift/Shoei/Scott/FMF/Mika/Motul/Pirelli/Hinson
20,211,Tevin Tapia,"Lake Elsinore, CA",Yamaha YZ450F,19 Laps,1:06.319,Trust Implants - Monarch Heavy Haul - Skvi - TherX Performance - 3T Performance - Fasthouse
21,99,Austin Politelli,"Murrieta, CA",Honda CRF 450,15 Laps,1:02.883,TPJ Fly Racing/HRT/DSC Construction/Seth Jones/California Coast Plumbers/Carls Cycles/Gamache Landscaping/Karcher/Lucas Oil/Pirelli/Rekluse/Engine Ice/Acerbis/Magik Graphics/Galfer/Torc 1 Racing
22,184,Scott Champion,"Orange, CA",Yamaha YZ450F,7 Laps,1:06.612,Partzilla/Texplex/Yamaha
