POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,28,Christian Craig,"Temecula, CA",Yamaha YZ250F,1,-,13,1,26
2,47,Seth Hammaker,"Temecula, CA",Kawasaki KX250,4,X,0,2,23
3,96,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,7,-,0,3,21
4,35,Garrett Marchbanks,"Coalville, UT",Yamaha YZ250F,5,-,0,4,19
5,62,Vince Friese,"Menifee, CA",Honda CRF250R,6,-,3,5,18
6,29,Michael Mosiman,"Minneaola, FL",GASGAS MC 250F,2,-,0,6,17
7,30,Jo Shimoda,"Menifee, CA",Kawasaki KX250,3,-,0,7,16
8,69,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,12,-,0,8,15
9,98,Dominique Thury,"Schneeberg, GER",Yamaha YZ250F,13,-,0,9,14
10,43,Carson Mumford,"Simi Valley, CA",Suzuki RM-Z250,11,-,0,10,13
11,66,Chris Blose,"Phoenix, AZ",GASGAS MC 250F,8,-,0,11,12
12,49,Nate Thrasher,"Livingston, TN",Yamaha YZ250F,9,-,0,12,11
13,64,Mitchell Harrison,"Leesburg, FL",GASGAS MC 250F,14,-,0,13,10
14,161,Cole Thompson,"Brigden, ON",Yamaha YZ250F,16,-,0,14,9
15,40,Dilan Schwartz,"Alpine, CA",Suzuki RM-Z250,22,-,0,15,8
16,58,Ryan Surratt,"Corona, CA",Yamaha YZ250F,18,-,0,16,7
17,101,Dylan Walsh,"Southam, GB",Kawasaki KX250,19,-,0,17,6
18,67,Logan Karnow,"Amherst, OH",Kawasaki KX250,15,-,0,18,5
19,79,Hunter Schlosser,"El Paso, TX",Yamaha YZ250F,21,-,0,19,4
20,432,Kaeden Amerine,"Great Bend, KS",KTM 250 SX-F,20,-,0,20,3
21,74,Derek Kelley,"Riverside, CA",KTM 250 SX-F,10,-,0,21,2
22,216,Devin Harriman,"Longview, WA",KTM 250 SX-F,17,-,0,22,1
