POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,48,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,2,3,1,26,Monster Energy Pro Circuit Kawasaki
2,6,Jeremy Martin,"Rochester, MN",Yamaha YZ250F,9,2,3,23,Monster Energy Yamaha Star Racing
3,18,Jett Lawrence,"Wesley Chapel, FL",Honda CRF250R,4,1,10,21,Team Honda HRC
4,54,Mitchell Oldenburg,"Aledo, TX",Honda CRF250R,5,6,5,19,Smartop Bullfrog Spas MotoConcepts Honda
5,90,Jordon Smith,"Ochlocknee, GA",Honda CRF250R,6,10,7,18,Fire Power Honda
6,80,Enzo Lopes,"Indian Trail, NC",Yamaha YZ250F,11,7,6,17,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha"
7,33,Austin Forkner,"Richards, MO",Kawasaki KX250,1,4,19,16,Monster Energy Pro Circuit Kawasaki
8,52,Kyle Peters,"Greensboro, NC",Honda CRF250R,10,9,8,15,Phoenix Racing Honda
9,715,Phillip Nicoletti,"Bethel, NY",Yamaha YZ250F,7,5,15,14,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha, 6D Helmets"
10,50,Stilez Robertson,"Bakersfield, CA",Husqvarna FC 250,8,8,12,13,Rockstar Energy Husqvarna Factory Racing
11,81,Jace Owen,"Mattoon, IL",Yamaha YZ250F,14,13,4,12,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha"
12,44,Pierce Brown,"Sandy, UT",GASGAS MC 250F,15,19,2,11,Troy Lee Designs Red Bull GASGAS Factory Racing
13,331,Derek Drake,"Lake Elsinore, CA",Suzuki RM-Z250,16,12,9,10,Bar X Suzuki
14,72,John Short,"Pilot Point, TX",Honda CRF250R,13,15,11,9,"Volkswagen of Waco, Jones Powersports"
15,38,Joshua Varize,"Perris, CA",Husqvarna FC 250,19,11,13,8,"Husqvarna, Fly, Scott, Gaerne, FMF, Dunlop, Motorex, WP"
16,24,Rj Hampshire,"Minneola, FL",Husqvarna FC 250,3,20,20,7,Rockstar Energy Husqvarna Factory Racing
17,129,Henry Miller,"Rochester, MN",KTM 250 SX-F,17,14,14,6,"Innovation Concrete Inc., Stussy Construction, FXR"
18,285,Marshal Weltin,"Ubly, MI",Yamaha YZ250F,12,17,18,5,SRS
19,39,Jarrett Frye,"Mechanicsville, MD",Honda CRF250R,18,16,17,4,Fire Power Honda
20,519,Joshua Cartwright,"Fort Worth, TX",Kawasaki KX250,21,18,16,3,"MADD Parts, Circuit Equipment, Namura Tech, Kawasaki"
21,37,Coty Schock,"Dover, DE",Honda CRF250R,20,21,21,2,Phoenix Honda Racing
22,59,Levi Kitchen,"Washougal, WA",Yamaha YZ250F,22,22,22,1,Monster Energy Yamaha Star Racing
