POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,28,Christian Craig,"Temecula, CA",Yamaha YZ250F,2,-,15,1,26
2,96,Hunter Lawrence,"Wesley Chapel, FL",Honda CRF250R,4,-,0,2,23
3,47,Seth Hammaker,"Temecula, CA",Kawasaki KX250,5,-,0,3,21
4,29,Michael Mosiman,"Minneaola, FL",GASGAS MC 250F,1,-,0,4,19
5,49,Nate Thrasher,"Livingston, TN",Yamaha YZ250F,10,-,0,5,18
6,62,Vince Friese,"Menifee, CA",Honda CRF250R,8,-,0,6,17
7,30,Jo Shimoda,"Menifee, CA",Kawasaki KX250,3,X,1,7,16
8,35,Garrett Marchbanks,"Coalville, UT",Yamaha YZ250F,6,-,0,8,15
9,66,Chris Blose,"Phoenix, AZ",GASGAS MC 250F,7,-,0,9,14
10,69,Robbie Wageman,"Newhall, CA",Yamaha YZ250F,19,-,0,10,13
11,40,Dilan Schwartz,"Alpine, CA",Suzuki RM-Z250,20,-,0,11,12
12,161,Cole Thompson,"Brigden, ON",Yamaha YZ250F,9,-,0,12,11
13,910,Carson Brown,"Ravensdale, WA",KTM 250 SX-F,14,-,0,13,10
14,43,Carson Mumford,"Simi Valley, CA",Suzuki RM-Z250,11,-,0,14,9
15,216,Devin Harriman,"Longview, WA",KTM 250 SX-F,16,-,0,15,8
16,58,Ryan Surratt,"Corona, CA",Yamaha YZ250F,13,-,0,16,7
17,67,Logan Karnow,"Amherst, OH",Kawasaki KX250,15,-,0,17,6
18,79,Hunter Schlosser,"El Paso, TX",Yamaha YZ250F,17,-,0,18,5
19,260,Dylan Woodcock,"Rayleigh, ENG",Husqvarna FC 250,21,-,0,19,4
20,98,Dominique Thury,"Schneeberg, GER",Yamaha YZ250F,12,-,0,20,3
21,726,Gared Steinke,"Klamath Falls, OR",KTM 125 SX,18,-,0,21,2
22,97,Jerry Robin,"Hamel, MN",GASGAS MC 250F,22,-,0,22,1
