POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,18,Jett Lawrence,"Wesley Chapel, FL",Honda CRF250R,3,-,19,1,26
2,33,Austin Forkner,"Richards, MO",Kawasaki KX250,8,X,1,2,23
3,48,Cameron Mcadoo,"Sioux City, IA",Kawasaki KX250,11,-,0,3,21
4,6,Jeremy Martin,"Rochester, MN",Yamaha YZ250F,9,-,0,4,19
5,24,Rj Hampshire,"Minneola, FL",Husqvarna FC 250,2,-,0,5,18
6,44,Pierce Brown,"Sandy, UT",GASGAS MC 250F,1,-,0,6,17
7,50,Stilez Robertson,"Bakersfield, CA",Husqvarna FC 250,5,-,0,7,16
8,80,Enzo Lopes,"Indian Trail, NC",Yamaha YZ250F,10,-,0,8,15
9,59,Levi Kitchen,"Washougal, WA",Yamaha YZ250F,6,-,0,9,14
10,715,Phillip Nicoletti,"Bethel, NY",Yamaha YZ250F,12,-,0,10,13
11,81,Jace Owen,"Mattoon, IL",Yamaha YZ250F,14,-,0,11,12
12,331,Derek Drake,"Lake Elsinore, CA",Suzuki RM-Z250,16,-,0,12,11
13,90,Jordon Smith,"Ochlocknee, GA",Honda CRF250R,4,-,0,13,10
14,129,Henry Miller,"Rochester, MN",KTM 250 SX-F,15,-,0,14,9
15,140,Cullin Park,"Clermont, FL",Honda CRF250R,22,-,0,15,8
16,63,Jeremy Hand,"Mantua, OH",Honda CRF250R,17,-,0,16,7
17,37,Coty Schock,"Dover, DE",Honda CRF250R,20,-,0,17,6
18,285,Marshal Weltin,"Ubly, MI",Yamaha YZ250F,21,-,0,18,5
19,52,Kyle Peters,"Greensboro, NC",Honda CRF250R,7,-,0,19,4
20,38,Joshua Varize,"Perris, CA",Husqvarna FC 250,18,-,0,20,3
21,39,Jarrett Frye,"Frederick, MD",Honda CRF250R,19,-,0,21,2
