POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,21 Laps,0:58.241,MONSTER ENERGY KAWASAKI
2,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,3.557,0:58.857,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
3,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,4.726,0:58.731,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
4,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,14.812,0:58.750,MONSTER ENERGY KAWASAKI
5,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,16.800,0:59.107,Rockstar Energy Husqvarna Factory Racing
6,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,19.124,0:58.914,Monster Energy Yamaha Factory Racing
7,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,28.468,0:59.757,Rockstar Energy Husqvarna Factory Racing
8,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,29.713,0:59.502,Smartop/MotoConcepts/Bullfrog Spas Honda
9,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F Factory Editi,31.336,0:58.526,Team rocky mountain/WPS/KTM
10,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,48.111,1:00.058,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
11,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450 Factory E,55.317,0:59.218,Rockstar Energy Husqvarna Factory Racing
12,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,57.617,1:01.144,Monster Energy Yamaha Factory Racing
13,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,58.366,1:00.898,Honda HRC
14,64,Vince Friese,"Menifee, CA",Honda CRF450R,20 Laps,0:59.472,Smartop BullFrog Honda
15,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,15.151,1:01.456,Team Tedder / Monster Energy Racing
16,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,16.402,1:02.277,Triggr/RAK Racing/AHM Factory Services/Kawasaki
17,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,17.974,1:01.807,"TEAM CHZ, TILUBE, ROCKRIVER, RICKIEFOWLER.COM, PUREKANA, YAMAHA"
18,61,Alex Ray,"Milan, TN",Kawasaki KX450,33.447,1:02.709,"SGB_Racing, Maxxis, Babbitts Kawasaki"
19,44,Kyle Cunningham,"WIllow park, TX",Suzuki RMZ450,37.451,1:01.972,HEP Motorsports Suzuki
20,82,Cade Autenrieth,"HEMET, CA",Honda CRF450R,55.953,1:03.352,Oneal eks brand LS2 TBT Racing Kyle Lewis
21,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,19 Laps,1:02.491,HEP Suzuki
22,86,Joshua Cartwright,"Tallahassee, FL",Kawasaki KX450,11.918,1:02.783,Team PR-MX / Pelletier Kawasaki / Just 1 / Wossner
