POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,29 Laps,0:43.199,MONSTER ENERGY KAWASAKI
2,1,Cooper Webb,"Clermont, FL",KTM 450SX-F FE,3.771,0:43.568,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
3,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,13.542,0:43.578,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 FE,20.519,0:43.513,Rockstar Energy Husqvarna Factory Racing
5,16,Zach Osborne,"Clermont, FL",Husqvarna FC450 FE,22.619,0:43.856,Rockstar Energy Husqvarna Factory Racing
6,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F FE,24.870,0:43.821,Team Tedder / Monster Energy Racing
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F FE,27.174,0:43.814,Team rocky mountain/WPS/KTM
8,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,30.318,0:44.017,Monster Energy Yamaha Factory Racing
9,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,32.215,0:43.993,Honda HRC
10,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 FE,33.664,0:44.364,Rockstar Energy Husqvarna Factory Racing
11,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,35.315,0:44.495,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
12,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,28 Laps,0:44.862,Monster Energy Yamaha Factory Racing
13,50,Benny Bloss,"Oak Grove, MO",KTM 450SX-F FE,12.237,0:44.802,Rocky Mountain WPS KTM
14,44,Kyle Cunningham,"WIllow Park, TX",Suzuki RMZ450,27 Laps,0:45.549,HEP Motorsports Suzuki
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,15.720,0:45.742,"TEAM CHZ, TILUBE, ROCKRIVER, RICKIEFOWLER.COM, PUREKANA, YAMAHA"
16,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,36.888,0:44.384,Smartop/MotoConcepts/Bullfrog Spas Honda
17,61,Alex Ray,"Milan, TN",Kawasaki KX450,19 Laps,0:46.455,"SGB_Racing, Maxxis, Babbitts Kawasaki"
18,64,Vince Friese,"Menifee, CA",Honda CRF450R,17 Laps,0:44.928,Smartop BullFrog Honda
19,22,Chad Reed,"Cornelius, NC",KTM 450SX-F,13 Laps,0:45.234,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
20,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,8 Laps,0:46.573,Triggr/RAK Racing/AHM Factory Services/Kawasaki
21,31,Fredrik Noren,"Indian Trail, NC",Suzuki RMZ450,4 Laps,0:48.636,JGR/Yoshimura/Suzuki Factory Racing
22,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,2 Laps,2:46.067,MONSTER ENERGY KAWASAKI
