POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,25 Laps,0:51.041,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
2,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,13.612,0:51.515,Monster Energy Yamaha Factory Racing
3,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,16.719,0:51.574,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,17.241,0:51.610,MONSTER ENERGY KAWASAKI
5,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,19.771,0:51.838,Team Tedder / Monster Energy Racing
6,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,23.372,0:51.784,Smartop/MotoConcepts/Bullfrog Spas Honda
7,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,25.591,0:51.992,Monster Energy Yamaha Factory Racing
8,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,29.198,0:51.725,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
9,64,Vince Friese,"Menifee, CA",Honda CRF450R,30.785,0:52.280,Smartop BullFrog Honda
10,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,31.036,0:52.024,Rockstar Energy Husqvarna Factory Racing
11,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,38.159,0:51.516,Rockstar Energy Husqvarna Factory Racing
12,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,41.629,0:52.260,Honda HRC
13,50,Benny Bloss,"Oak Grove, MO",Yamaha YZ450F,53.213,0:52.508,Rock River Yamaha
14,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,24 Laps,0:52.968,Triggr/RAK Racing/AHM Factory Services/Kawasaki
15,22,Chad Reed,"Cornelius, NC",Honda CRF450R,4.453,0:53.219,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
16,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,6.262,0:53.564,"TEAM CHZ, TILUBE, ROCKRIVER, RICKIEFOWLER.COM, PUREKANA, YAMAHA"
17,722,Adam Enticknap,"Lompoc, CA",Suzuki RMZ450,49.294,0:53.693,"HEP motorsports, Suzuki"
18,393,Daniel Herrlein,"Bethesda, OH",KTM 450SX-F,53.183,0:54.342,"TZR, EVS, Oneal, Arai, Hoosier, 100%, Decal Works"
19,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F Factory Editi,23 Laps,0:53.086,Team rocky mountain/WPS/KTM
20,65,James Weeks,"Punta Gorda, FL",Yamaha YZ450F,10.316,0:54.522,TPJ Fly Racing
21,44,Kyle Cunningham,"WIllow Park, TX",Suzuki RMZ450,13 Laps,0:53.282,HEP Motorsports Suzuki
22,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,10 Laps,0:52.910,HEP Suzuki
