POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,18 Laps,1:10.262,MONSTER ENERGY KAWASAKI
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,0.707,1:10.174,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
3,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,10.590,1:10.718,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,11.205,1:11.533,Rockstar Energy Husqvarna Factory Racing
5,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,32.436,1:12.262,Monster Energy Yamaha Factory Racing
6,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,34.412,1:12.365,Monster Energy Yamaha Factory Racing
7,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,35.706,1:13.040,Rockstar Energy Husqvarna Factory Racing
8,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,46.452,1:13.246,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
9,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,53.884,1:13.297,Smartop/MotoConcepts/Bullfrog Spas Honda
10,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,1:03.771,1:13.764,Honda HRC
11,64,Vince Friese,"Menifee, CA",Honda CRF450R,1:05.550,1:13.303,Smartop BullFrog Honda
12,50,Benny Bloss,"Oak Grove, MO",KTM 450SX-F FE,17 Laps,1:13.964,"Rocky Mountain ATV/MC, KTM, WPS"
13,22,Chad Reed,"Cornelius, NC",Honda CRF450R,11.721,1:14.650,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
14,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,14.385,1:14.608,Team Tedder / Monster Energy Racing
15,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,31.370,1:15.632,"TEAM CHZ, TILUBE, ROCKRIVER, RICKIEFOWLER.COM, PUREKANA, YAMAHA"
16,91,Ryan Sipes,"Ekron, KY",KTM 450SX-F,35.308,1:16.552,"Red Bull, Leatt, KTM"
17,48,Henry Miller,"Rochester, MN",KTM 450SX-F,44.833,1:16.076,"Stussy construction, FXR, Owens locker plant, Paul mundt, 6D, EKS goggles, Forma boots, Twin Air, EVS, Dirt Tricks, Works Connection, Hoosier Tires, Rekluse, Guts seats, Defy graphics, Cycra, TJs cycles, TM design works, Odi, Blud Lubricants"
18,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,46.957,1:16.418,HEP Suzuki
19,722,Adam Enticknap,"Lompoc, CA",Suzuki RMZ450,47.417,1:16.565,"HEP motorsports, Suzuki"
20,393,Daniel Herrlein,"Bethesda, OH",KTM 450SX-F,1:14.280,1:17.121,"TZR, EVS, Oneal, Arai, Hoosier, 100%, Decal Works"
21,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,7 Laps,1:15.760,Triggr/RAK Racing/AHM Factory Services/Kawasaki
22,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F Factory Editi,DNF,,Team rocky mountain/WPS/KTM
