POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1,Cooper Webb,"Clermont, FL",KTM 450SX-F FE,27 Laps,0:46.062,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
2,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,1.908,0:45.619,MONSTER ENERGY KAWASAKI
3,16,Zach Osborne,"Clermont, FL",Husqvarna FC450 FE,15.421,0:46.105,Rockstar Energy Husqvarna Factory Racing
4,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 FE,25.043,0:45.950,Rockstar Energy Husqvarna Factory Racing
5,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,27.089,0:45.756,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
6,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 FE,28.726,0:46.480,Rockstar Energy Husqvarna Factory Racing
7,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,29.118,0:46.441,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
8,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,36.432,0:46.420,Monster Energy Yamaha Factory Racing
9,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,40.072,0:46.566,Honda HRC
10,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,42.630,0:47.155,Smartop/MotoConcepts/Bullfrog Spas Honda
11,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F FE,45.092,0:46.758,Team Tedder / Monster Energy Racing
12,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,48.149,0:47.219,Monster Energy Yamaha Factory Racing
13,50,Benny Bloss,"Oak Grove, MO",KTM 450SX-F FE,26 Laps,0:47.140,Rocky Mountain WPS KTM
14,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F FE,4.464,0:46.481,Team rocky mountain/WPS/KTM
15,44,Kyle Cunningham,"WIllow Park, TX",Suzuki RMZ450,11.558,0:47.384,HEP Motorsports Suzuki
16,64,Vince Friese,"Menifee, CA",Honda CRF450R,14.074,0:47.780,Smartop BullFrog Honda
17,22,Chad Reed,"Cornelius, NC",Honda CRF450R,16.102,0:47.807,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
18,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,28.611,0:48.114,"TEAM CHZ, TILUBE, ROCKRIVER, RICKIEFOWLER.COM, PUREKANA, YAMAHA"
19,722,Adam Enticknap,"Lompoc, CA",Suzuki RMZ450,25 Laps,0:48.277,"HEP Motorsports Suzuki, Mayhem Wheels, Thor. Redline Oil"
20,69,Carlen Gardner,"Paso Robles, CA",Honda CRF450R,28.181,0:48.486,BWR -LTEC-SSI-FLY- Honda
21,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,16 Laps,0:48.939,Triggr/RAK Racing/AHM Factory Services/Kawasaki
22,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,5 Laps,0:49.257,HEP Motorsports Suzuki
