POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,29 Laps,0:43.659,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
2,1,Cooper Webb,"Clermont, FL",KTM 450SX-F FE,3.140,0:43.909,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
3,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,17.844,0:43.779,MONSTER ENERGY KAWASAKI
4,16,Zach Osborne,"Clermont, FL",Husqvarna FC450 FE,29.584,0:44.602,Rockstar Energy Husqvarna Factory Racing
5,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,32.389,0:44.245,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
6,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 FE,40.473,0:45.141,Rockstar Energy Husqvarna Factory Racing
7,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F FE,40.865,0:44.752,Team rocky mountain/WPS/KTM
8,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,42.677,0:44.860,Honda HRC
9,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,44.729,0:44.738,Monster Energy Yamaha Factory Racing
10,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,28 Laps,0:44.950,Monster Energy Yamaha Factory Racing
11,22,Chad Reed,"Cornelius, NC",Honda CRF450R,10.768,0:45.409,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
12,20,Broc Tickle,"Holly, MI",Suzuki RMZ450,16.830,0:45.473,JGR/Yoshimura/Suzuki Factory Racing
13,50,Benny Bloss,"Oak Grove, MO",KTM 450SX-F FE,20.168,0:44.891,Rocky Mountain WPS KTM
14,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,24.695,0:45.635,Smartop/MotoConcepts/Bullfrog Spas Honda
15,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,32.648,0:45.970,Triggr/RAK Racing/AHM Factory Services/Kawasaki
16,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,27 Laps,0:46.196,"TEAM CHZ, TILUBE, ROCKRIVER, RICKIEFOWLER.COM, PUREKANA, YAMAHA"
17,64,Vince Friese,"Menifee, CA",Honda CRF450R,29.714,0:45.455,Smartop BullFrog Honda
18,722,Adam Enticknap,"Lompoc, CA",Suzuki RMZ450,36.848,0:46.685,"HEP Motorsports Suzuki, Mayhem Wheels, Thor. Redline Oil"
19,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F FE,26 Laps,0:44.784,Team Tedder / Monster Energy Racing
20,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,25 Laps,0:46.525,HEP Motorsports Suzuki
21,597,Mason Kerr,"Altoona, IA",Kawasaki KX450,11.667,0:48.028,"Sportland 2, Team Carey, Tom Zont Racing, Rasmussen Group, Cox Concrete, JDog Salvage, Legacy Racewear, Hickman Installations, ZMA Race Products, Traction MX, Ryno Power, No Toil, Real Ink Graphics, MX Tech Suspension, Advanced Electric Inc."
22,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 FE,13 Laps,0:44.097,Rockstar Energy Husqvarna Factory Racing
