POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,24 Laps,0:52.078,MONSTER ENERGY KAWASAKI
2,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,1.979,0:53.252,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
3,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,3.186,0:53.652,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
4,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450 Factory E,10.628,0:53.511,Rockstar Energy Husqvarna Factory Racing
5,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,14.443,0:53.454,Rockstar Energy Husqvarna Factory Racing
6,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,20.138,0:53.785,MONSTER ENERGY KAWASAKI
7,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,21.967,0:53.704,Honda HRC
8,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,26.799,0:53.734,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
9,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,30.249,0:54.131,Monster Energy Yamaha Factory Racing
10,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,38.400,0:54.529,Rockstar Energy Husqvarna Factory Racing
11,64,Vince Friese,"Menifee, CA",Honda CRF450R,40.869,0:54.529,Smartop BullFrog Honda
12,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,43.377,0:54.232,Smartop/MotoConcepts/Bullfrog Spas Honda
13,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,47.514,0:54.303,Team Tedder / Monster Energy Racing
14,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F Factory Editi,50.210,0:53.005,Team rocky mountain/WPS/KTM
15,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,23 Laps,0:55.060,Monster Energy Yamaha Factory Racing
16,19,Justin Bogle,"Edmond, OK",KTM 450SX-F Factory Editi,2.814,0:55.127,Rocky Mountain ATV/MC KTM
17,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,8.268,0:55.511,Triggr/RAK Racing/AHM Factory Services/Kawasaki
18,22,Chad Reed,"Cornelius, NC",Honda CRF450R,13.498,0:55.715,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
19,49,Chris Blose,"Phoenix, AZ",Honda CRF450R,15.482,0:55.827,"Chaparral, FXR Racing, Honda"
20,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,21.505,0:55.975,HEP Suzuki
21,61,Alex Ray,"Milan, TN",Kawasaki KX450,39.221,0:56.252,"SGB_Racing, Maxxis, Babbitts Kawasaki"
22,50,Benny Bloss,"Oak Grove, MO",Yamaha YZ450F,9 Laps,0:54.805,Rock River Yamaha
