POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,25 Laps,0:49.445,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
2,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,2.751,0:49.757,MONSTER ENERGY KAWASAKI
3,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F Factory Editi,5.554,0:49.848,Team rocky mountain/WPS/KTM
4,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,9.123,0:49.857,MONSTER ENERGY KAWASAKI
5,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,11.597,0:49.681,Monster Energy Yamaha Factory Racing
6,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,17.676,0:49.569,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
7,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,22.938,0:51.033,Honda HRC
8,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,24.877,0:50.253,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
9,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,27.305,0:51.159,Smartop/MotoConcepts/Bullfrog Spas Honda
10,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,28.372,0:50.037,Monster Energy Yamaha Factory Racing
11,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450 Factory E,33.886,0:51.131,Rockstar Energy Husqvarna Factory Racing
12,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,38.326,0:50.883,Team Tedder / Monster Energy Racing
13,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,39.442,0:51.189,Rockstar Energy Husqvarna Factory Racing
14,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,24 Laps,0:50.491,Rockstar Energy Husqvarna Factory Racing
15,64,Vince Friese,"Menifee, CA",Honda CRF450R,8.723,0:52.025,Smartop BullFrog Honda
16,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,12.857,0:52.153,Triggr/RAK Racing/AHM Factory Services/Kawasaki
17,50,Benny Bloss,"Oak Grove, MO",Yamaha YZ450F,17.077,0:52.100,Rock River Yamaha
18,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,29.341,0:52.121,"TEAM CHZ, TILUBE, ROCKRIVER, RICKIEFOWLER.COM, PUREKANA, YAMAHA"
19,61,Alex Ray,"Milan, TN",Kawasaki KX450,40.188,0:52.189,"SGB_Racing, Maxxis, Babbitts Kawasaki"
20,817,Jason Clermont,"Plesse, France",Kawasaki KX450,22 Laps,0:53.811,TBD
21,22,Chad Reed,"Cornelius, NC",Honda CRF450R,13 Laps,0:52.239,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
22,71,Ryan Breece,"Athol, ID",Suzuki RMZ450,6 Laps,0:54.167,HEP Suzuki
