POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,22 Laps,0:58.708,Monster Energy Yamaha Factory Racing
2,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450,5.646,0:58.530,MONSTER ENERGY KAWASAKI
3,1,Cooper Webb,"Clermont, FL",KTM 450SX-F Factory Editi,12.693,0:58.759,KTM/RED BULL/MOTOREX/AKRAPOVIC/WELLS FARGO/DUNLOP
4,4,Blake Baggett,"Grand Terrace, CA",KTM 450SX-F FE,14.216,0:58.708,Team rocky mountain/WPS/KTM
5,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450 Factory E,18.187,0:58.788,Rockstar Energy Husqvarna Factory Racing
6,94,Ken Roczen,"Clermont, FL",Honda CRF450R Works Editi,22.127,0:59.018,"Team Honda HRC, Red Bull, Fox Racing, GoPro, Art of Sport, Breitling"
7,3,Eli Tomac,"Cortez, CO",Kawasaki KX450,23.789,0:59.470,MONSTER ENERGY KAWASAKI
8,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,26.191,0:58.993,Honda HRC
9,27,Malcolm Stewart,"Haines City, FL",Honda CRF450R,27.043,0:59.856,"Smartop/Bullfrog Spas/Motoconcept Honda, Seven, Shoei,Scott Goggles, Garnae Boots, Toyota Escondido"
10,64,Vince Friese,"Menifee, CA",Honda CRF450R,32.922,0:59.254,Smartop BullFrog Honda
11,46,Justin Hill,"Yoncalla, OR",Honda CRF450R,36.567,1:00.493,Smartop/MotoConcepts/Bullfrog Spas Honda
12,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,43.391,0:59.917,Monster Energy Yamaha Factory Racing
13,15,Dean Wilson,"Murrieta, CA",Husqvarna FC450 Factory E,48.030,1:00.572,Rockstar Energy Husqvarna Factory Racing
14,16,Zach Osborne,"Abingdon, VA",Husqvarna FC450 Factory E,1:05.277,1:00.485,Rockstar Energy Husqvarna Factory Racing
15,37,Martin Davalos,"Tallahassee, FL",KTM 450SX-F Factory Editi,21 Laps,1:00.892,Team Tedder / Monster Energy Racing
16,19,Justin Bogle,"Edmond, OK",KTM 250SX-F Factory Editi,8.076,1:00.280,Rocky Mountain ATV/MC KTM
17,34,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX450,9.922,1:00.664,Triggr/RAK Racing/AHM Factory Services/Kawasaki
18,22,Chad Reed,"Cornelius, NC",Honda CRF450R,19.335,1:01.937,"Mountain Motorsports, cbdMD, Fox, Arma, Boost, Knobby"
19,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,23.522,1:01.511,"TEAM CHZ, TILUBE, ROCKRIVER, RICKIEFOWLER.COM, PUREKANA, YAMAHA"
20,49,Chris Blose,"Phoenix, AZ",Honda CRF450R,37.803,1:01.370,"Chaparral, FXR Racing, Honda"
21,31,Fredrik Noren,"Indian Trail, NC",Suzuki RMZ450,39.930,1:00.995,JGR/Yoshimura/Suzuki Factory Racing
22,53,James Decotis,"Huntersville, NC",Suzuki RMZ450,20 Laps,1:00.757,JGR/Yoshimura/Suzuki Factory Racing
