POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,17,Joey Savatgy,"Thomasville, GA",Kawasaki KX 250F,1,2,1,26,MONSTER ENERGY PRO CIRCUIT KAWASAKI
2,28,Shane Mcelrath,"Canton, NC",KTM 250 SX-F,5,1,4,23,Troy Lee Designs/ Red Bull/ KTM
3,32,Christian Craig,"Orange, CA",Honda CRF 250,2,3,5,21,GEICO Honda/AMSOIL/Factory Connection
4,92,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX 250F,4,5,2,19,MONSTER ENERGY PRO CIRCUIT KAWASAKI
5,52,Mitchell Oldenburg,"Alvord, TX",Yamaha YZ250F,3,6,6,18,Monster/Yamalube/Thor/Parts Unlimited/Yamaha
6,23,Aaron Plessinger,"Hamilton, OH",Yamaha YZ250F,6,4,7,17,Monster/Yamalube/Thor/Parts Unlimited/Yamaha
7,63,Hayden Mellross,"Clermont, FL",Yamaha YZ250F,7,10,8,16,51FIFTY Energy Drink Yamaha
8,40,Chase Sexton,"Clermont, FL",Honda CRF 250,15,8,3,15,GEICO Honda/AMSOIL/Factory Connection
9,54,Phillip Nicoletti,"Bethel, NY",Suzuki RM-Z250,8,7,11,14,Autotrader/ JGR/Yoshimura/Suzuki Factory Racing
10,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ250F,9,11,10,12,51FIFTY Energy Drink Yamaha
11,59,Cole Martinez,"Rimrock, AZ",Husqvarna FC250,10,14,13,11,AJE MOTORSPORTS / SKASE' MX HUSQVARNA
12,30,Mitchell Harrison,"Tallahassee, FL",Husqvarna FC250,18,12,12,10,Rockstar Energy Husqvarna Factory Racing
13,217,Ryan Breece,"Athol, ID",Kawasaki KX 250F,12,17,16,9,Rockwell/Nuclear Blast/FXR/Mastel Linen/Dunlop/TORC1/Justified Cultures/Motool/Arai/Motoland MX Park/Maxima/Motocrosscoach.com/1455 American Grill/Motion Pro/VP/Acerbis/Tech One/RK/Excel/SRC/Power Lift/Rekluse/Dubya/Motostuff/TCX/Subrosa/Twin Air/Xtrig
14,992,Jean Ramos,"Corona, CA",Yamaha YZ250F,16,16,14,8,Wk Pool & Spa/Yamaha/Geração/Avtech/Two Stroke/Mr Pro/Gringa Mx/Alpinestar/Bell/JMR Escola De Motocross/Pro Wheels/ Pb / UFO / White Knuckle /
15,53,Bradley Taft,"Nixa, MO",Yamaha YZ250F,13,13,20,7,CycleTrader Rock River YAMAHA RoostMX Moose
16,68,Justin Starling,"Deland, FL",Husqvarna FC250,17,15,15,6,AJE MOTORSPORTS / SKASE' MX HUSQVARNA
17,902,Killian Auberson,"Corona, CA",KTM 250 SX-F,19,20,17,5,DCR camshaft/pearson brothers winery/SHIFT/Fox
18,81,Chase Marquier,"Newcastle, OK",Husqvarna FC250,20,18,18,4,Jmc Motorsports
19,42,Dakota Alix,"Jay, VT",KTM 250SX-F Factory Editi,14,22,21,3,Rocky Mountain ATV/MC - KTM - WPS
20,388,Brandan Leith,"Eagle Mountain, UT",Kawasaki KX 250F,21,19,19,2,"stewarts racing,strikt,triple effect graphics,"
21,67,Justin Hoeft,"Castaic, CA",Yamaha YZ250F,22,21,22,1,IB CORP Racing/Eterra/Skidsteer Solutions 
22,1,Justin Hill,"Yoncalla, OR",Suzuki RM-Z250,11,9,9,,Autotrader/JGR/Yoshimura/Suzuki Factory Racing
