POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1,Eli Tomac,"Durango, CO",Honda CRF 250,15 Laps,0:55.275,GEICO Honda/AMSOIL/Muscle Milk/Alias/Planet Fitness/Factory Connection
2,94,Ken Roczen,Germany,KTM 250 SX-F,6.444,0:56.789,Red Bull/KTM/Motorex/Foremost/Dunlop/Akrapovic
3,43,Cole Seely,newbury park,Honda CRF 250,11.553,0:57.076,Troy Lee Design/Lucas Oil/Honda
4,21,Jason Anderson,"Edgewood, NM",Suzuki RM-Z250,19.684,0:57.082,"Rockstar Energy Drink/ Motosport.com/ Bel-Ray/ ONE Industries/ FMF/ Airoh/ Dragon/ Gaerne Boots/ Leatt Brace/ Motion Pro
"
5,32,Malcolm Stewart,usa,KTM 250 SX-F,24.068,0:57.254, 
6,35,Ryan Sipes,"Ekron, KY",Suzuki RM-Z250,28.540,0:57.438,Rockstar Energy Drink/ Motosport.com/ Bel-Ray/ ONE Industries/ FMF/ Airoh/ Dragon/ Gaerne Boots/ Leatt Brace/ Motion Pro
7,338,Zach Osborne,South Carolina,Honda CRF 250,29.307,0:57.362,GEICO Honda/AMSOIL/Alias/Muscle Milk/Planet Fitness/Factory Connection
8,28,Tyla Rattray,"Durban, South Africa",Kawasaki KX 250F,30.244,0:57.995,Monster Energy/ProCircuit/Kawasaki
9,74,Max Anstie,England,Suzuki RM-Z250,33.004,0:57.702,Suzuki/Fox/Dunlop
10,80,Michael Leib,Mission Viejo,Honda CRF 250,34.672,0:58.302,"Rocket Exhaust, On Track, Renegade, Race So Cal, Gaerne,"
11,38,Kyle Cunningham,Irving TX,Yamaha YZ250F,37.654,0:57.790,MyPlash/Metal Mulisha/Yamaha/Star Racing
12,59,Christian Craig,San Diego CA,Honda CRF 250,39.157,0:58.370,Troy Lee Design/Lucas Oil/Honda
13,176,Joey Savatgy,"Panorama City, CA",KTM 250 SX-F,41.456,0:58.455, 
14,4,Blake Baggett,"Redlands, ca",Kawasaki KX 250F,14 Laps,0:57.196,-- none listed --
15,31,Travis Baker,Orange County,Yamaha YZ250F,6.189,0:58.267,Valli Motorsports Yamaha
16,76,Austin Politelli,ca,Honda CRF 250,22.367,0:59.751,"HRT Honda, HBH,Tilube,Dynamic Enegine Factory,Rekluse,Yoshimura,Motorsports products,Gram Brough,DT1,"
17,992,Jean Ramos,Curitiba - Brazil,Kawasaki KX 250F,25.327,0:59.143,X-Motos Do Brasil/JMR Escola de Motocross/Adrenalinamx.com/Trato Graphics/Escuderia X Motos
18,36,Jessy Nelson,Templeton CA,Honda CRF 250,13 Laps,0:59.063,Troy Lee Design/Lucas Oil/Honda
19,23,Jake Canada,"Corona, CA",Honda CRF 250,5 Laps,0:58.139,Motoconcepts Racing/Smartop/JT Racing/FMF
