POS.,#,RIDER,HOMETOWN,BIKE,M1,M2,M3,POINTS,TEAM/SPONSORS
1,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,1,1,3,26,Monster Energy Star Racing Yamaha
2,27,Malcolm Stewart,"Murrieta, CA",Husqvarna FC 450 RE,3,2,4,23,Rockstar Energy Husqvarna Factory Racing
3,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,11,3,1,21,Team Honda HRC
4,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,2,12,2,19,Monster Energy Kawasaki
5,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,4,6,7,18,Team Honda HRC
6,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,6,7,6,17,Troy Lee Designs Red Bull GASGAS Factory Racing
7,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,5,4,11,16,Red Bull KTM
8,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,8,8,5,15,Red Bull KTM
9,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,9,9,9,14,Rockstar Energy Husqvarna Factory Racing
10,12,Shane McElrath,"Oakland, FL",KTM 450 SX-F FE,10,11,8,13,Rocky Mountain ATV/MC WPS KTM
11,7,Aaron Plessinger,"Hamilton, OH",KTM 450 SX-F FE,12,10,10,12,Red Bull KTM
12,14,Dylan Ferrandis,"Tallahassee, FL",Yamaha YZ450F,7,5,22,11,Monster Energy Star Racing Yamaha
13,54,Mitchell Oldenburg,"Aledo, TX",Honda CRF450R,13,14,15,10,Smartop Bullfrog Spas MotoConcepts Honda
14,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,18,13,12,9,Smartop Bullfrog Spas MotoConcepts Honda
15,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,17,17,13,8,H.E.P. Suzuki
16,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,19,16,14,7,H.E.P. Suzuki
17,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,15,15,20,6,"Team Chiz, Yamaha, LS2, FXR, Rock River"
18,26,Alex Martin,"Clermont, FL",Yamaha YZ450F,14,19,18,5,"Muc-Off FXR ClubMX, IAMACOMEBACK, Yamaha"
19,34,Max Anstie,"Wesley Chapel, FL",KTM 450 SX-F,20,18,16,4,Rocky Mountain ATV/MC WPS KTM
20,200,Ryan Breece,"Athol, ID",Yamaha YZ450F,16,21,17,3,"Westside, Your Jet Aircraft, Zwinger Excavation, UFO"
21,78,Cade Clason,"Chesterfield, SC",Honda CRF450R,21,22,19,2,SGB Unlimited Honda
22,61,Fredrik Noren,"Indian Trail, NC",KTM 450 SX-F,22,20,21,1,"Browns RV Superstore, Cole Racing"
