POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,2,X,22,1,26
2,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,5,-,0,2,23
3,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,1,-,0,3,21
4,27,Malcolm Stewart,"Murrieta, CA",Husqvarna FC 450 RE,10,-,0,4,19
5,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,3,-,0,5,18
6,14,Dylan Ferrandis,"Tallahassee, FL",Yamaha YZ450F,19,-,0,6,17
7,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,6,-,0,7,16
8,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,9,-,0,8,15
9,7,Aaron Plessinger,"Hamilton, OH",KTM 450 SX-F FE,4,-,0,9,14
10,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,7,-,0,10,13
11,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,12,-,0,11,12
12,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,20,-,0,12,11
13,34,Max Anstie,"Wesley Chapel, FL",KTM 450 SX-F,14,-,0,13,10
14,12,Shane McElrath,"Oakland, FL",KTM 450 SX-F FE,8,-,0,14,9
15,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,13,-,0,15,8
16,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,18,-,0,16,7
17,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,11,-,0,17,6
18,95,Justin Starling,"Deland, FL",GASGAS MC 450F,15,-,0,18,5
19,54,Mitchell Oldenburg,"Aledo, TX",Honda CRF450R,16,-,0,19,4
20,57,Kevin Moranz,"Topeka, KS",KTM 450 SX-F,22,-,0,20,3
21,78,Cade Clason,"Chesterfield, SC",Honda CRF450R,17,-,0,21,2
22,722,Adam Enticknap,"Lompoc, CA",Suzuki RM-Z450,21,-,0,22,1
