POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,4,X,26,1,26
2,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,2,-,0,2,23
3,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,3,-,0,3,21
4,27,Malcolm Stewart,"Haines City, FL",Husqvarna FC 450 RE,6,-,0,4,19
5,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,1,-,0,5,18
6,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,11,-,0,6,17
7,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,9,-,0,7,16
8,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,5,-,0,8,15
9,54,Mitchell Oldenburg,"Aledo, TX",Honda CRF450R,7,-,0,9,14
10,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,12,-,0,10,13
11,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,8,-,0,11,12
12,95,Justin Starling,"Deland, FL",GASGAS MC 450F,10,-,0,12,11
13,200,Ryan Breece,"Athol, ID",Yamaha YZ450F,14,-,0,13,10
14,26,Alex Martin,"Clermont, FL",Yamaha YZ450F,20,-,0,14,9
15,78,Cade Clason,"Chesterfield, SC",Honda CRF450R,17,-,0,15,8
16,57,Kevin Moranz,"Topeka, KS",KTM 450 SX-F,22,-,0,16,7
17,61,Fredrik Noren,"Indian Trail, NC",KTM 450 SX-F,15,-,0,17,6
18,711,Tristan Lane,"Port Orange, FL",KTM 450 SX-F,21,-,0,18,5
19,848,Joan Cros,"Manlleu, BC",Kawasaki KX450,18,-,0,19,4
20,72,John Short,"Pilot Point, TX",Honda CRF250R,19,-,0,20,3
21,87,Alex Ray,"Milan, TN",Honda CRF450R,13,-,0,21,2
22,981,Austin Politelli,"Murrieta, CA",Honda CRF450R,16,-,0,22,1
