POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,3,-,18,1,26
2,7,Aaron Plessinger,"Hamilton, OH",KTM 450 SX-F FE,5,-,0,2,23
3,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,6,-,0,3,21
4,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,2,-,0,4,19
5,27,Malcolm Stewart,"Murrieta, CA",Husqvarna FC 450 RE,7,-,0,5,18
6,14,Dylan Ferrandis,"Tallahassee, FL",Yamaha YZ450F,9,-,0,6,17
7,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,10,-,0,7,16
8,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,12,-,0,8,15
9,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,1,-,0,9,14
10,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,11,-,0,10,13
11,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,16,-,0,11,12
12,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450SR,8,X,3,12,11
13,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,4,-,0,13,10
14,12,Shane McElrath,"Oakland, FL",KTM 450 SX-F FE,14,-,0,14,9
15,34,Max Anstie,"Murrieta, CA",KTM 450 SX-F,17,-,0,15,8
16,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,18,-,0,16,7
17,26,Alex Martin,"Clermont, FL",Yamaha YZ450F,19,-,0,17,6
18,11,Kyle Chisholm,"Valrico, FL",Yamaha YZ450F,15,-,0,18,5
19,95,Justin Starling,"Deland, FL",GASGAS MC 450F,21,-,0,19,4
20,751,Josh Hill,"Huntersville, NC",KTM 450 SX-F,20,-,0,20,3
21,848,Joan Cros,"Manlleu, BC",Kawasaki KX450,22,-,0,21,2
22,19,Justin Bogle,"Wesley Chapel, FL",Suzuki RM-Z450,13,-,0,22,1
