POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,94,Ken Roczen,"Clermont, FL",Honda CRF450R WE,2,-,22,1,26
2,1,Cooper Webb,"Newport, NC",KTM 450 SX-F FE,9,-,0,2,23
3,51,Justin Barcia,"Greenville, FL",GASGAS MC 450F,7,-,0,3,21
4,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F FE,15,-,0,4,19
5,23,Chase Sexton,"Clermont, FL",Honda CRF450R WE,1,X,0,5,18
6,3,Eli Tomac,"Cortez, CO",Yamaha YZ450F,5,-,0,6,17
7,27,Malcolm Stewart,"Murrieta, CA",Husqvarna FC 450 RE,6,-,0,7,16
8,17,Joey Savatgy,"Clermont, FL",KTM 450 SX-F FE,12,-,0,8,15
9,7,Aaron Plessinger,"Leesburg, FL",KTM 450 SX-F FE,8,-,0,9,14
10,21,Jason Anderson,"Rio Rancho, NM",Kawasaki KX450SR,16,-,0,10,13
11,9,Adam Cianciarulo,"New Smyrna Beach, FL",Kawasaki KX450SR,14,-,0,11,12
12,15,Dean Wilson,"Murrieta, CA",Husqvarna FC 450 RE,18,-,0,12,11
13,10,Justin Brayton,"Charlotte, NC",Honda CRF450R,4,-,0,13,10
14,34,Max Anstie,"Murrieta, CA",KTM 450 SX-F,11,-,0,14,9
15,54,Mitchell Oldenburg,"Aledo, TX",Honda CRF450R,13,-,0,15,8
16,14,Dylan Ferrandis,"Tallahassee, FL",Yamaha YZ450F,10,-,0,16,7
17,41,Brandon Hartranft,"Brick, NJ",Suzuki RM-Z450,20,-,0,17,6
18,12,Shane McElrath,"Oakland, FL",KTM 450 SX-F FE,3,-,0,18,5
19,78,Cade Clason,"Chesterfield, SC",Honda CRF450R,21,-,0,19,4
20,61,Fredrik Noren,"Indian Trail, NC",KTM 450 SX-F,17,-,0,20,3
21,95,Justin Starling,"Deland, FL",GASGAS MC 450F,19,-,0,21,2
22,200,Ryan Breece,"Athol, ID",Yamaha YZ450F,22,-,0,22,1
