POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,17,Jason Anderson,"Rio Rancho, NM",KTM 250 SX-F,1,-,1,1,25
2,21,Cole Seely,"Lake Elsinore, CA",Honda CRF 250,4,-,14,2,22
3,16,Zach Osborne,"Chesterfield, SC",Honda CRF 250,3,-,0,3,20
4,15,Dean Wilson,"Wesley Chapel, FL",Kawasaki KX 250F,2,-,0,4,18
5,34,Malcolm Stewart,"Haines City, FL",Honda CRF 250,7,-,0,5,16
6,37,Cooper Webb,"Newport, NC",Yamaha YZ250F,6,X,0,6,15
7,111,Dean Ferris,"MURRIETA, CA",KTM 250 SX-F,17,-,0,7,14
8,35,Justin Hill,"Yoncalla, OR",Kawasaki KX 250F,5,-,0,8,13
9,50,Jessy Nelson,"Paso Robles, CA",Honda CRF 250,8,-,0,9,12
10,142,Cole Martinez,"Rimrock, AZ",Kawasaki KX 250F,18,-,0,10,11
11,84,Scott Champion,"Orange, CA",Yamaha YZ250,9,-,0,11,10
12,87,Shane Mcelrath,"Chesterfield, SC",Honda CRF 250,12,-,0,12,9
13,416,Austin Burns,"Scottsdale, AZ",Honda CRF 250,20,-,0,13,8
14,45,Darryn Durham,"Butler, PA",Kawasaki KX 250F,19,-,0,14,7
15,594,Chris Plouffe,"Castaic, CA",Honda CRF 250,15,-,0,15,6
16,526,Colton Aeck,"Granada Hills, CA",Honda CRF 250,14,-,0,16,5
17,83,Dakota Tedder,"Surfside, CA",Kawasaki KX 250F,16,-,0,17,4
18,360,Aaron Siminoe,"Reno, NV",Kawasaki KX 250F,11,-,0,18,3
19,830,Ruben Alanis,"Pharr, TX",KTM 250 SX-F,21,-,0,19,2
20,902,Killian Auberson,"Epautheyres, Switzerland",KTM 250 SX-F,22,-,0,20,1
21,273,Conner Elliott,"Tumwater, WA",Honda CRF 250,13,-,0,21,1
