POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,4,Blake Baggett,"Grand Terrace, CA",Kawasaki KX 250F,2,-,2,1,25
2,46,Adam Cianciarulo,"Port Orange, FL",Kawasaki KX 250F,9,-,0,2,22
3,31,Martin Davalos,"Cairo, GA",Kawasaki KX 250F,1,-,1,3,20
4,36,Blake Wharton,"Beaumont, TX",Honda CRF 250,4,-,0,4,18
5,32,Justin Bogle,"Cushing, OK",Honda CRF 250,8,-,0,5,16
6,19,Jeremy Martin,"Millville, MN",Yamaha YZ250F,3,-,0,6,15
7,96,Matthew Bisceglia,"Weatherford, TX",Honda CRF 250,11,-,0,7,14
8,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 250,15,-,0,8,13
9,30,Kyle Cunningham,"Aledo, TX",Honda CRF 250,14,-,0,9,12
10,78,Matthew Lemoine,"Pilot Point, TX",Kawasaki KX 250F,13,-,0,10,11
11,47,Kyle Peters,"Greensboro, NC",Honda CRF 250,19,-,0,11,10
12,56,James Decotis,"Peabody, MA",Honda CRF 250,7,-,0,12,9
13,52,Cole Thompson,"BRIGDEN, Canada",KTM 250 SX-F,5,-,0,13,8
14,55,Alex Martin,"Millville, MN",Yamaha YZ250F,10,-,0,14,7
15,62,Mitchell Oldenburg,"Alvord, TX",Honda CRF 250,16,-,0,15,6
16,49,Gavin Faith,"Fort Dodge, IA",Honda CRF 250,6,-,0,16,5
17,60,Jackson Richardson,"Wildomar, CA",Honda CRF 250,17,-,12,17,4
18,99,Justin Starling,"Deland, FL",Honda CRF 250,18,-,0,18,3
19,57,A J Catanzaro,"Portland, CT",Honda CRF 250,12,-,0,19,2
20,91,Jacob Baumert,"Buckner, KY",Kawasaki KX 250F,22,-,0,20,1
21,212,Auston Albers,"Hoschton, GA",Suzuki RM-Z250,20,-,0,21,1
22,410,Jace Owen,"Mattoon, IL",Honda CRF 250,21,-,0,22,1
