POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,26 Laps,0:48.054,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
2,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,5.332,0:49.180,Honda HRC
3,21,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,9.449,0:48.991,ROCKSTAR ENERGY HUSQVARNA FACTORY RACING/BEL-RAY/SCOSCHE/FMF/WP
4,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,16.327,0:49.194,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
5,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,23.512,0:49.411,Rockstar Energy Husqvarna Factory Racing/Bel-Ray/FMF/Scosche/Dunlop/Pro Taper/O'Neal/100%/Shoei 
6,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,33.881,0:50.057,RCH Yoshimura Suzuki Factory Racing
7,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,41.866,0:49.766,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels 
8,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,43.853,0:49.665,Rocky Mountain ATV/MC - KTM - WPS
9,19,Justin Bogle,"Cushing, OK",Suzuki RM-Z450,25 Laps,0:49.456,RCH Yoshimura Suzuki Factory Racing
10,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,6.538,0:50.935,Ride365.com/Stewart Racing
11,41,Trey Canard,"Edmond, OK",KTM 450 SX-F Factory Edit,10.307,0:49.810,"KTM, RED BULL, AKRAPOVIC, MOTOREX, WP, DUNLOP"
12,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,14.761,0:51.013,Smartop Motoconcepts Honda Yoshimura
13,800,Mike Alessi,"Hilliard, FL",Honda CRF 450,17.986,0:51.252,Smartop MotoConcepts Racing Yoshimura
14,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,30.635,0:48.613,Monster Energy-Yamalube-Chaparral-Yamaha Financial Services-Factory Yamaha 
15,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,23 Laps,0:48.914,MONSTER ENERGY KAWASAKI
16,67,Jimmy Albertson,"Shawnee, OK",Suzuki RM-Z450,12.145,0:52.778,"Suzuki, Merge Racing, Seven, Rekluse, FMF, Bell, Oakley "
17,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,22 Laps,0:49.709,Rocky Mountain ATV/MC - KTM - WPS
18,981,Austin Politelli,"Murrieta, CA",Yamaha YZ450F,9.112,0:52.288,"Old town construction, SprinterRentals.com, TripTagger, TXS, UofMX, TorringMX"
19,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,18 Laps,0:49.882,Monster Energy-Yamalaube-Chaparral-Yamaha Financail Services-Factory Yamaha
20,314,Alex Ray,"Milan, TN",Husqvarna FC450,15 Laps,0:51.945,"FXR, TXS Productions, K1 Speed,NoLeen J6, PRL, Arai, Sidi, Rekluse, 2XU, SSI, X-Brand, Spider Energy Drink, Graham Husky, Vertex, Dedicated Ride, NoToil, Vortex, Evans, Dirt Tricks, Motoseats, WC, Spectro Oils, Killer Custom, Bolt, Bills Pipes, Mobus Brac"
21,80,Cade Clason,"Chesterfield, SC",Honda CRF 450,5 Laps,0:52.107,"K1 Speed, BWR Engines, SSi Decals, Race-Tech Suspension, Freeport Honda Kawasaki, Rekluse Motorsports, Bel-Ray, TuBliss, Works Connection, No-Toil, Evans Waterless Coolant, MotoSeat, Yoshimura, RK-­Excel, Dunlop, FXR, Arai, Dirt Tricks, Pro Taper, WebCams"
22,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,DNS,,Smartop/MotoConcepts/Honda/Yoshimura
