POS.,#,RIDER,HOMETOWN,BIKE,INTERVAL,BEST TIME,TEAM/SPONSORS
1,1,Ryan Dungey,"Clermont, FL",KTM 450 SX-F Factory Edit,22 Laps,0:56.430,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, FOX, OAKLEY, TARGET"
2,25,Marvin Musquin,"CLERMONT, FL",KTM 450 SX-F Factory Edit,2.725,0:56.493,"RED BULL KTM, MOTOREX, AKRAPOVIC, DUNLOP, THOR, ALPINESTARS, 100%, AIROH, LEATT"
3,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,10.218,0:56.368,Honda HRC
4,2,Cooper Webb,"Newport, NC",Yamaha YZ450F,13.807,0:57.223,Monster Energy-Yamalube-Chaparral-Yamaha Financial Services-Factory Yamaha 
5,32,Weston Peick,"Menifee, CA",Suzuki RM-Z450,15.296,0:57.651,Autotrader/JGR/Suzuki/Bad Boy Offroad/Wienershnitzel/Monster/KMC wheels/Toyota/Fly Racing/Scott
6,33,Joshua Grant,"Wildomar, CA",Kawasaki KX 450F,16.017,0:56.829,MONSTER ENERGY KAWASAKI
7,22,Chad Reed,"Dade City, FL",Yamaha YZ450F,17.950,0:57.158,Monster Energy-Yamalaube-Chaparral-Yamaha Financial Services-Factory Yamaha
8,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,30.526,0:56.913,MONSTER ENERGY KAWASAKI
9,18,David Millsaps,"Lake Havasu City, AZ",KTM 450 SX-F Factory Edit,31.825,0:57.529,Rocky Mountain ATV/MC - KTM - WPS
10,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,32.576,0:58.222,Rocky Mountain ATV/MC - KTM - WPS
11,15,Dean Wilson,"Clermont, FL",Yamaha YZ450F,39.869,0:58.349,Yamaha/O'Neal/Shoei/100%/Alpinestars/Toyota Escondido
12,20,Broc Tickle,"Holly, MI",Suzuki RM-Z450,42.505,0:57.946,RCH Yoshimura Suzuki Factory Racing
13,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,54.490,0:58.334,Smartop/MotoConcepts/Honda
14,377,Christophe Pourcel,"San Antonio, FL",Husqvarna FC450,21 Laps,0:58.577,"Rockstar Energy Husqvarna Factory Racing, Bel-Ray, Fly, FMF, Scosche"
15,12,Jacob Weimer,"Huntington Beach , CA",Suzuki RM-Z450,1.682,0:59.097,Autotrader/JGR/Suzuki/Toyota/Monster Energy/NFAB/Wienerschnitzel/Alpinestars/Bad Boy Offroad/KMC wheels 
16,61,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,10.934,0:58.572,Smartop Motoconcepts Honda
17,85,Thomas Hahn,"Decatur, TX",Yamaha YZ450F,23.846,0:59.143,CycleTrader Rock River YAMAHA GPI RoostMX
18,47,Malcolm Stewart,"Haines City, FL",Suzuki RM-Z450,26.588,0:57.285,Ride365.com/Stewart Racing
19,75,Nick Schmidt,"Lake Elsinore, Ca",Suzuki RM-Z450,20 Laps,0:59.901,Team3br Suzuki TPJ milestonemx
20,606,Ronnie Stewart,"Princeton, NJ",Suzuki RM-Z450,18.558,1:00.764,MicroBilt/PRBC/Yoshimura/Suzuki Racing/Liberty Elevator/H&S Trucking/ISC Racers Tape/RG3/Hinson Clutch Components/Strikt/DeCal Works/Hellbound Racing/Motostuff.com/Novik/Sunstar/6D Helmets/DT1 Filters/VP Fuels/Matrix/VonZipper/Works Connection
21,722,Adam Enticknap,"Lompoc, CA",Honda CRF 450,30.098,1:02.183,Ride Red/Cal Coast Plumbing/Fly Racing/Dave Humphrey/Viking Bait/TPJ/Robert Carrico/7deucedeuce.com/Works Connection/Rekluse/Vortex Sprockets/Dunlop/Epoxy It SoCal/SB training/Dirt Rider/Alpinestar/Asterisk/Jim Castillo/Galfer/REC MX/BOLT/Acerbis/Moto Tap
22,94,Ken Roczen,"Clermont, FL",Honda CRF 450,9 Laps,0:56.259,Honda HRC
